method,method_label,population,n,hota_mean,hota_ci95,deta_mean,deta_ci95,assa_mean,assa_ci95,idf1_mean,idf1_ci95,mota_mean,mota_ci95,motp_px_mean,motp_px_ci95,link_f1_mean,link_f1_ci95,coverage_mean,coverage_ci95,coverage_pct_mean,coverage_pct_ci95,median_error_px_mean,median_error_px_ci95,mean_error_px_mean,mean_error_px_ci95,fragmentations_mean,fragmentations_ci95,mean_fragmentations_per_gt_mean,mean_fragmentations_per_gt_ci95,n_tracks_mean,n_tracks_ci95
all_distance,All - distance,all,2,0.6186441930732656,0.1831775866945204,0.7177309413423243,0.12482174110289122,0.5353255766768509,0.22267847305406518,0.8340706801221822,0.0847241696632254,0.66925,0.15140999999999985,0.8094313150857588,0.14077265544546447,0.6116517385061475,0.20443107501822327,0.75125,0.11808999999999992,75.125,11.808999999999996,0.6502326595682112,0.09031824679473005,0.8094313150857588,0.14077265544546447,98.0,19.6,4.9,0.98,66.0,17.64
all_enhanced,All - enhanced cost,all,2,0.6428928595869033,0.06032152089724362,0.7203692859766158,0.11210483910397144,0.5743229990623577,0.01829084468400276,0.8361724840398249,0.07583877338720636,0.6677500000000001,0.11319000000000003,0.8145300062920876,0.13867426084378479,0.6545375235433306,0.13093919521768102,0.75525,0.11612999999999993,75.525,11.612999999999992,0.653020479785617,0.09341718588042032,0.8145300062920876,0.13867426084378479,103.5,10.779999999999998,5.175000000000001,0.5389999999999997,62.5,0.98
separated_distance,Separated - distance,all,2,0.5657709895404747,0.10956032346724212,0.7160669191919191,0.12095328282828288,0.4470925305987523,0.09760930726952821,0.8330352032054952,0.08225100171722945,0.663,0.1401399999999999,0.8095075757714956,0.14024134071812552,0.5230383390768045,0.09383438987355566,0.7497499999999999,0.11514999999999992,74.975,11.514999999999999,0.6495474039948956,0.088938672050296,0.8095075757714956,0.14024134071812552,97.5,16.659999999999997,4.875,0.8329999999999995,76.5,4.9
