runtime_s,n_tracks,link_precision,link_recall,link_f1,link_tp,link_fp,link_fn,mean_coverage,median_coverage,mean_fragments_per_gt,max_fragments_per_gt,assigned_tracks,unassigned_tracks,median_position_error_px,mean_position_error_px,labelable_tracks,assignment_accuracy,assignment_weighted_accuracy,truth_label_purity,truth_label_median_error_px,n_assignment_rows,n_assignment_cols,n_assigned_pairs,n_unassigned_rows,duplicate_gt_assignments,high_cost_assignments,invalid_cost_assignments,assignment_mean_cost,assignment_median_cost,stage,peak_config,peak_family,peak_distance_weight,peak_intensity_weight,peak_sigma_weight,traj_config,traj_family,traj_position_weight,traj_length_weight,traj_start_frame_weight,seed,nposframe,poisson_noise,difficulty,candidate_tracks,total_peaks,mean_peaks_per_frame,median_peaks_per_frame,peak_objective,traj_objective
0.08572970004752278,31,1.0,0.37745098039215685,0.5480427046263345,154,0,254,0.44523809523809527,0.37142857142857144,1.0,1.0,12,19,1.027017025666617,1.3985242106059956,28,0.42857142857142855,0.5297450424929179,0.9208891914537075,1.286128050583255,31,12,12,19,0,0,0,0.19040771263341108,0.19595306366682053,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,position_only,ablation,1.0,0.0,0.0,0,3,80,"npos=3, noise=80",31,485,13.857142857142858,13.0,0.4609413186503789,0.45799718250087734
0.01761930005159229,31,1.0,0.4485294117647059,0.6192893401015229,183,0,225,0.5214285714285715,0.44285714285714284,1.0,1.0,12,19,41.32308722452227,39.82488149315947,28,0.14285714285714285,0.16147308781869688,0.9208891914537075,1.286128050583255,31,12,12,19,0,0,0,1.675000014404456,1.9499999284744263,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,length_only,ablation,0.0,1.0,0.0,0,3,80,"npos=3, noise=80",31,485,13.857142857142858,13.0,0.4342227760807088,0.2735118542606931
0.018310099956579506,31,1.0,0.25,0.4,102,0,306,0.33095238095238094,0.3,1.0,1.0,12,19,46.08220805365767,53.997273839560215,28,0.03571428571428571,0.036827195467422094,0.9208891914537075,1.286128050583255,31,12,12,19,0,0,0,0.05000000074505806,0.0,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,start_only,ablation,0.0,0.0,1.0,0,3,80,"npos=3, noise=80",31,485,13.857142857142858,13.0,0.25826217455820855,0.13658775124780792
0.07844279997516423,31,1.0,0.42401960784313725,0.59552495697074,173,0,235,0.4928571428571429,0.38571428571428573,1.0,1.0,12,19,1.0861594234468959,1.466853491910276,28,0.42857142857142855,0.5864022662889519,0.9208891914537075,1.286128050583255,31,12,12,19,0,0,0,0.35143430158495903,0.35813941061496735,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,pos_len_90_10,position_length,0.9,0.1,0.0,0,3,80,"npos=3, noise=80",31,485,13.857142857142858,13.0,0.5048640063050727,0.4864198436806717
0.09502700006123632,31,1.0,0.43137254901960786,0.6027397260273972,176,0,232,0.5,0.38571428571428573,1.0,1.0,12,19,1.08796655845356,1.5153018170689923,28,0.42857142857142855,0.5949008498583569,0.9208891914537075,1.286128050583255,31,12,12,19,0,0,0,0.5884222735961279,0.652472048997879,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,pos_len_75_25,position_length,0.75,0.25,0.0,0,3,80,"npos=3, noise=80",31,485,13.857142857142858,13.0,0.5115251158982512,0.49070172909864007
0.09107409999705851,31,1.0,0.4387254901960784,0.6098807495741057,179,0,229,0.511904761904762,0.44285714285714284,1.0,1.0,12,19,1.0861594234468959,1.7406227072227884,28,0.39285714285714285,0.5609065155807366,0.9208891914537075,1.286128050583255,31,12,12,19,0,0,0,0.8205332731207212,0.9519776403903961,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,pos_len_60_40,position_length,0.6,0.4,0.0,0,3,80,"npos=3, noise=80",31,485,13.857142857142858,13.0,0.512979444762428,0.47053611214333857
0.10746520000975579,31,1.0,0.25735294117647056,0.4093567251461988,105,0,303,0.33095238095238094,0.3142857142857143,1.0,1.0,12,19,1.5779500055053033,2.369890604398575,28,0.39285714285714285,0.34560906515580736,0.9208891914537075,1.286128050583255,31,12,12,19,0,0,0,0.2963731711109479,0.248014397919178,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,pos_start_90_10,position_start,0.9,0.0,0.1,0,3,80,"npos=3, noise=80",31,485,13.857142857142858,13.0,0.3333405050639209,0.35851170655628684
0.10695089993532747,31,1.0,0.25980392156862747,0.4124513618677043,106,0,302,0.3333333333333333,0.3142857142857143,1.0,1.0,12,19,1.690163826148141,2.7752118127075227,28,0.35714285714285715,0.32011331444759206,0.9208891914537075,1.286128050583255,31,12,12,19,0,0,0,0.3083708981672923,0.2406640201807022,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,pos_start_75_25,position_start,0.75,0.0,0.25,0,3,80,"npos=3, noise=80",31,485,13.857142857142858,13.0,0.3312378970862688,0.3387090771759151
0.1154356999322772,31,1.0,0.25980392156862747,0.4124513618677043,106,0,302,0.3333333333333333,0.3142857142857143,1.0,1.0,12,19,1.690163826148141,2.7752118127075227,28,0.35714285714285715,0.32011331444759206,0.9208891914537075,1.286128050583255,31,12,12,19,0,0,0,0.2900300578524669,0.22172538936138153,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,pos_start_60_40,position_start,0.6,0.0,0.4,0,3,80,"npos=3, noise=80",31,485,13.857142857142858,13.0,0.3312378970862688,0.3387090771759151
0.10197409999091178,31,1.0,0.40441176470588236,0.5759162303664922,165,0,243,0.480952380952381,0.38571428571428573,1.0,1.0,12,19,1.1861656085570749,1.886357314393012,28,0.39285714285714285,0.5240793201133145,0.9208891914537075,1.286128050583255,31,12,12,19,0,0,0,0.45878712584575015,0.426901251077652,traj2traj,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,pos_meta_80_10_10,all_terms,0.8,0.1,0.1,0,3,80,"npos=3, noise=80",31,485,13.857142857142858,13.0,0.4823599874062495,0.4514411713397223
