peak_config,n,peak_objective_mean,peak_objective_ci95,link_f1_mean,link_f1_ci95,mean_coverage_mean,mean_coverage_ci95,mean_fragments_per_gt_mean,mean_fragments_per_gt_ci95,median_position_error_px_mean,median_position_error_px_ci95,assignment_accuracy_mean,assignment_accuracy_ci95,assignment_weighted_accuracy_mean,assignment_weighted_accuracy_ci95,duplicate_gt_assignments_mean,duplicate_gt_assignments_ci95,high_cost_assignments_mean,high_cost_assignments_ci95,runtime_s_mean,runtime_s_ci95,stage,recommended_config,name,family,distance,intensity,sigma,traj_config,traj_objective_mean,traj_objective_ci95,position,length,start_frame
dist_meta_50_40_10,12,0.5670714174909582,0.05424558013941646,0.6755824766941504,0.056814515509930955,0.5609126984126985,0.06024218564708288,1.0,0.0,0.8823836366283412,0.0737979828158647,0.5033254920983754,0.04894793969361741,0.6157396211870985,0.07485604298134946,0.0,0.0,0.0,0.0,0.19992444998933934,0.026981130908481806,peak2peak,dist_meta_50_40_10,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,,,,,,
,12,,,0.7583846139635396,0.04046190713348439,0.6607142857142857,0.04603128053703034,1.0,0.0,0.9209209319897997,0.07499640532865647,0.5033254920983754,0.04894793969361741,0.7207259258554412,0.047269970446213415,0.0,0.0,0.0,0.0,0.08029826667431432,0.005431179411174414,traj2traj,pos_len_75_25,pos_len_75_25,position_length,,,,pos_len_75_25,0.5992600296673469,0.040698907293986966,0.75,0.25,0.0
