seed,method,population,method_label,hota,deta,assa,idf1,id_precision,id_recall,mota,motp_px,id_switches,link_precision,link_recall,link_f1,coverage,coverage_pct,median_error_px,mean_error_px,fragmentations,mean_fragmentations_per_gt,n_tracks
0,all_distance,all,All - distance,0.525186240678102,0.6540463795551349,0.42171411083294,0.7908440629470672,0.9244147157190635,0.691,0.5920000000000001,0.8812540984763019,85,1.0,0.3398989898989899,0.5073501696192989,0.6910000000000001,69.10000000000001,0.6963133977287878,0.8812540984763019,108,5.4,75
0,all_enhanced,all,All - enhanced cost,0.6121165734148403,0.6631729394949977,0.5649909354480707,0.7974792323116584,0.9336016096579477,0.696,0.61,0.8852821801919778,73,1.0,0.4161616161616162,0.5877318116975749,0.6960000000000001,69.60000000000001,0.7006823093164436,0.8852821801919778,109,5.45,62
0,separated_distance,all,Separated - distance,0.509872865322494,0.6543560606060606,0.3972918636245032,0.7910704064109904,0.9250334672021419,0.691,0.5915,0.8810592802195188,87,1.0,0.3116161616161616,0.4751636503658067,0.691,69.1,0.6949242774899446,0.8810592802195188,106,5.3,79
1,all_distance,all,All - distance,0.712102145468429,0.7814155031295137,0.6489370425207617,0.8772972972972972,0.9547058823529412,0.8115,0.7464999999999999,0.7376085316952157,53,1.0,0.5575757575757576,0.7159533073929961,0.8115,81.15,0.6041519214076346,0.7376085316952157,88,4.4,57
1,all_enhanced,all,All - enhanced cost,0.6736691457589664,0.7775656324582338,0.5836550626766449,0.8748657357679914,0.9448955916473318,0.8145,0.7255,0.7437778323921974,83,1.0,0.5641414141414142,0.7213432353890862,0.8145,81.45,0.6053586502547902,0.7437778323921974,98,4.9,63
1,separated_distance,all,Separated - distance,0.6216691137584553,0.7777777777777778,0.4968931975730014,0.875,0.9534198113207547,0.8085,0.7344999999999999,0.7379558713234724,69,1.0,0.3994949494949495,0.5709130277878023,0.8084999999999999,80.85,0.6041705304998466,0.7379558713234724,89,4.45,74
