runtime_s,n_tracks,link_precision,link_recall,link_f1,link_tp,link_fp,link_fn,mean_coverage,median_coverage,mean_fragments_per_gt,max_fragments_per_gt,assigned_tracks,unassigned_tracks,median_position_error_px,mean_position_error_px,labelable_tracks,assignment_accuracy,assignment_weighted_accuracy,truth_label_purity,truth_label_median_error_px,n_assignment_rows,n_assignment_cols,n_assigned_pairs,n_unassigned_rows,duplicate_gt_assignments,high_cost_assignments,invalid_cost_assignments,assignment_mean_cost,assignment_median_cost,stage,peak_config,peak_family,peak_distance_weight,peak_intensity_weight,peak_sigma_weight,traj_config,seed,nposframe,poisson_noise,difficulty,total_peaks,mean_peaks_per_frame,median_peaks_per_frame,peak_objective,traj_objective
0.22852870007045567,33,1.0,0.25,0.4,102,0,306,0.30714285714285716,0.32857142857142857,1.0,1.0,12,21,0.941769330971132,1.3391958169997522,31,0.3870967741935484,0.356353591160221,0.9498273706969358,1.2797461254943747,33,12,12,21,0,0,0,0.17458515676359335,0.16759663075208664,peak2peak,distance_only,ablation,1.0,0.0,0.0,position_only,0,3,80,"npos=3, noise=80",485,13.857142857142858,13.0,0.32670711796860574,0.3546413931817603
0.23931819992139935,32,1.0,0.34558823529411764,0.5136612021857923,141,0,267,0.4309523809523809,0.41428571428571426,1.0,1.0,12,20,1.0594220199969908,1.5058621829956937,27,0.4444444444444444,0.5339233038348082,0.8732978826728828,1.2646951371079793,32,12,12,20,0,0,0,0.18391102676590285,0.18683987110853195,peak2peak,intensity_only,ablation,0.0,1.0,0.0,position_only,0,3,80,"npos=3, noise=80",485,13.857142857142858,13.0,0.4406843593312239,0.45708608226887637
0.24764169997069985,25,1.0,0.4387254901960784,0.6098807495741057,179,0,229,0.5214285714285714,0.48571428571428565,1.0,1.0,12,13,1.1542181737721091,1.7834623477009737,22,0.5454545454545454,0.6329479768786127,0.8887691570881227,1.2671368611402605,25,12,12,13,0,0,0,0.23145432583987713,0.21894307434558868,peak2peak,sigma_only,ablation,0.0,0.0,1.0,position_only,0,3,80,"npos=3, noise=80",485,13.857142857142858,13.0,0.5259113960243422,0.5505378194591496
0.2698167000198737,33,1.0,0.3088235294117647,0.4719101123595506,126,0,282,0.36904761904761907,0.32857142857142857,1.0,1.0,12,21,0.9063249207756491,1.4418756217666184,33,0.36363636363636365,0.38847117794486213,0.9705063623245441,1.2906190924958858,33,12,12,21,0,0,0,0.17908572467664877,0.1721346750855446,peak2peak,dist_int_90_10,distance_intensity,0.9,0.1,0.0,position_only,0,3,80,"npos=3, noise=80",485,13.857142857142858,13.0,0.3830889191805007,0.373859124317433
0.2558221999788657,34,1.0,0.34068627450980393,0.5082266910420475,139,0,269,0.4047619047619047,0.34285714285714286,1.0,1.0,12,22,0.9585385146056631,1.3098703514625551,33,0.36363636363636365,0.4370179948586118,0.9490068754774638,1.2851826089951301,34,12,12,22,0,0,0,0.1719865364332994,0.16799168288707733,peak2peak,dist_int_75_25,distance_intensity,0.75,0.25,0.0,position_only,0,3,80,"npos=3, noise=80",485,13.857142857142858,13.0,0.41726200151052045,0.3968305728537984
0.2583796998951584,33,1.0,0.3946078431372549,0.5659050966608085,161,0,247,0.45714285714285713,0.32857142857142857,1.0,1.0,12,21,0.991957653854612,1.2918242130903925,32,0.375,0.5065963060686016,0.9449419267601086,1.2797461254943747,33,12,12,21,0,0,0,0.17058130415777364,0.16368475556373596,peak2peak,dist_int_60_40,distance_intensity,0.6,0.4,0.0,position_only,0,3,80,"npos=3, noise=80",485,13.857142857142858,13.0,0.46950786732445393,0.4355443815635978
0.24784349999390543,31,1.0,0.3700980392156863,0.5402504472271914,151,0,257,0.4238095238095238,0.35714285714285715,1.0,1.0,12,19,0.9160135604446007,1.2778355071676915,30,0.4,0.4623376623376623,0.9550858818600754,1.2925099756721352,31,12,12,19,0,0,0,0.1772282011806965,0.17527349293231964,peak2peak,dist_sig_90_10,distance_sigma,0.9,0.0,0.1,position_only,0,3,80,"npos=3, noise=80",485,13.857142857142858,13.0,0.44199320306495876,0.42601545741080626
0.23071020003408194,26,1.0,0.5,0.6666666666666666,204,0,204,0.5595238095238094,0.42857142857142855,1.0,1.0,12,14,1.0108067856285168,1.340117934738721,26,0.46153846153846156,0.6200527704485488,0.9811822792592024,1.297177631174978,26,12,12,14,0,0,0,0.1784553825855255,0.1689292937517166,peak2peak,dist_sig_75_25,distance_sigma,0.75,0.0,0.25,position_only,0,3,80,"npos=3, noise=80",485,13.857142857142858,13.0,0.562431675835461,0.5289142915132361
0.2634625000646338,27,1.0,0.46568627450980393,0.6354515050167223,190,0,218,0.5357142857142857,0.45714285714285713,1.0,1.0,12,15,1.014842610953368,1.422278360528934,27,0.4444444444444444,0.5936675461741425,0.9746808108877074,1.273777805586648,27,12,12,15,0,0,0,0.1833967094620069,0.18098504841327667,peak2peak,dist_sig_60_40,distance_sigma,0.6,0.0,0.4,position_only,0,3,80,"npos=3, noise=80",485,13.857142857142858,13.0,0.5368987960719789,0.5068563938960865
0.29525299998931587,33,1.0,0.31862745098039214,0.483271375464684,130,0,278,0.37142857142857144,0.35714285714285715,1.0,1.0,12,21,0.9480176273447325,1.3534689111229328,32,0.375,0.41160949868073876,0.9527154663518299,1.29333520504803,33,12,12,21,0,0,0,0.1785895023494959,0.17478063702583313,peak2peak,dist_meta_80_10_10,all_terms,0.8,0.1,0.1,position_only,0,3,80,"npos=3, noise=80",485,13.857142857142858,13.0,0.39267918928905293,0.38669950690597865
0.2826200999552384,33,1.0,0.32598039215686275,0.49168207024029575,133,0,275,0.3880952380952381,0.34285714285714286,1.0,1.0,12,21,0.9782144112047062,1.3642693196451745,32,0.375,0.42894736842105263,0.9363013249376886,1.2971126257798802,33,12,12,21,0,0,0,0.18345431176324686,0.191786527633667,peak2peak,dist_meta_70_20_10,all_terms,0.7,0.2,0.1,position_only,0,3,80,"npos=3, noise=80",485,13.857142857142858,13.0,0.40353864586509763,0.39438277996284615
0.2769024999579415,31,1.0,0.37745098039215685,0.5480427046263345,154,0,254,0.44523809523809527,0.37142857142857144,1.0,1.0,12,19,1.027017025666617,1.3985242106059956,28,0.42857142857142855,0.5297450424929179,0.9208891914537075,1.286128050583255,31,12,12,19,0,0,0,0.19040771263341108,0.19595306366682053,peak2peak,dist_meta_50_40_10,all_terms,0.5,0.4,0.1,position_only,0,3,80,"npos=3, noise=80",485,13.857142857142858,13.0,0.4609413186503789,0.45799718250087734
