population,method,method_label,n,hota_mean,hota_ci95,deta_mean,deta_ci95,assa_mean,assa_ci95,idf1_mean,idf1_ci95,mota_mean,mota_ci95,motp_px_mean,motp_px_ci95,link_f1_mean,link_f1_ci95,coverage_mean,coverage_ci95,coverage_pct_mean,coverage_pct_ci95,median_error_px_mean,median_error_px_ci95,mean_error_px_mean,mean_error_px_ci95,fragmentations_mean,fragmentations_ci95,mean_fragmentations_per_gt_mean,mean_fragmentations_per_gt_ci95,n_tracks_mean,n_tracks_ci95,binding_events_mean,binding_events_ci95
ligand,all_distance,All - distance,2,0.5152549486525293,0.05917498137521813,0.34459176270602276,0.01044773452076769,0.7718743615074055,0.1535616091111614,0.5125363038556225,0.0115578767010445,0.064,0.16856000000000002,1.05439326832736,0.1843906472797511,0.3064717270211528,0.2509448080097865,0.473,0.04507999999999998,47.3,4.508,0.8213623657563227,0.29738451963011076,1.05439326832736,0.1843906472797511,63.0,1.96,6.300000000000001,0.19600000000000017,18.0,3.92,11.0,5.879999999999999
ligand,all_enhanced,All - enhanced cost,2,0.515694659505219,0.05264562787045465,0.34459176270602276,0.01044773452076769,0.7727916171368594,0.13414196630666186,0.5125363038556225,0.0115578767010445,0.063,0.16660000000000003,1.0544052734523972,0.18436711723467836,0.3223961696656602,0.28215671559302113,0.473,0.04507999999999998,47.3,4.508,0.8213623657563227,0.29738451963011076,1.0544052734523972,0.18436711723467836,63.0,1.96,6.300000000000001,0.19600000000000017,18.0,3.92,11.0,5.879999999999999
ligand,separated_distance,Separated - distance,2,0.5181113440203042,0.05357644645437892,0.34390776817797897,0.011788363795733477,0.7815275669450898,0.1346413264533001,0.511772827080565,0.013054291180156987,0.065,0.16660000000000003,1.0547062085505354,0.1850040101171747,0.2656899190903127,0.17101246446534007,0.472,0.04311999999999992,47.199999999999996,4.3119999999999905,0.8205792373201475,0.29584958789520727,1.0547062085505354,0.1850040101171747,63.0,1.96,6.300000000000001,0.19600000000000017,18.0,3.92,11.0,5.879999999999999
receptor,all_distance,All - distance,2,0.7591551756492021,0.12753801554724212,0.6006342470727059,0.15427861486793132,0.9615199999999999,0.07542080000000001,0.7474662724572829,0.1207266237830783,0.304,0.43904,0.4790430257120328,0.001445741709174302,0.9615384615384615,0.07538461538461544,1.0,0.0,100.0,0.0,0.47835535210410773,0.014593289523505873,0.4790430257120328,0.001445741709174302,0.0,0.0,0.0,0.0,18.0,3.92,11.0,5.879999999999999
receptor,all_enhanced,All - enhanced cost,2,0.7591551756492021,0.12753801554724212,0.6006342470727059,0.15427861486793132,0.9615199999999999,0.07542080000000001,0.7474662724572829,0.1207266237830783,0.304,0.43904,0.4790430257120328,0.001445741709174302,0.9627192982456141,0.0730701754385965,1.0,0.0,100.0,0.0,0.47835535210410773,0.014593289523505873,0.4790430257120328,0.001445741709174302,0.0,0.0,0.0,0.0,18.0,3.92,11.0,5.879999999999999
receptor,separated_distance,Separated - distance,2,0.7737108297100992,0.09900893358788375,0.6011801891941059,0.15320856830998728,1.0,0.0,0.7479373377431631,0.11980333582275332,0.308,0.4312,0.4790430257120328,0.001445741709174302,1.0,0.0,1.0,0.0,100.0,0.0,0.47835535210410773,0.014593289523505873,0.4790430257120328,0.001445741709174302,0.0,0.0,0.0,0.0,18.0,3.92,11.0,5.879999999999999
