seed,method,population,method_label,hota,deta,assa,idf1,id_precision,id_recall,mota,motp_px,id_switches,link_precision,link_recall,link_f1,coverage,coverage_pct,median_error_px,mean_error_px,fragmentations,mean_fragmentations_per_gt,n_tracks,binding_events
0,all_distance,ligand,All - distance,0.5454462656807018,0.3499222395023328,0.8502221212579981,0.5184331797235023,0.6114130434782609,0.45,0.15000000000000002,0.9603164074703442,7,1.0,0.09795918367346938,0.17843866171003717,0.45,45.0,0.6696355700266744,0.9603164074703442,62,6.2,16,14
0,all_distance,receptor,All - distance,0.8242255917447338,0.6793478260869565,1.0,0.8090614886731392,0.6793478260869565,1.0,0.528,0.4797806490330401,0,1.0,1.0,1.0,1.0,100.0,0.470909796224768,0.4797806490330401,0,0.0,16,14
0,all_enhanced,ligand,All - enhanced cost,0.5425546737248387,0.3499222395023328,0.8412313958647482,0.5184331797235023,0.6114130434782609,0.45,0.14800000000000002,0.9603404177204184,8,1.0,0.09795918367346938,0.17843866171003717,0.45,45.0,0.6696355700266744,0.9603404177204184,62,6.2,16,14
0,all_enhanced,receptor,All - enhanced cost,0.8242255917447338,0.6793478260869565,1.0,0.8090614886731392,0.6793478260869565,1.0,0.528,0.4797806490330401,0,1.0,1.0,1.0,1.0,100.0,0.470909796224768,0.4797806490330401,0,0.0,16,14
0,separated_distance,ligand,Separated - distance,0.5454462656807016,0.3499222395023328,0.850222121257998,0.5184331797235023,0.6114130434782609,0.45,0.15000000000000002,0.9603164074703442,7,1.0,0.09795918367346938,0.17843866171003717,0.45,45.0,0.6696355700266744,0.9603164074703442,62,6.2,16,14
0,separated_distance,receptor,Separated - distance,0.8242255917447338,0.6793478260869565,1.0,0.8090614886731392,0.6793478260869565,1.0,0.528,0.4797806490330401,0,1.0,1.0,1.0,1.0,100.0,0.470909796224768,0.4797806490330401,0,0.0,16,14
1,all_distance,ligand,All - distance,0.48506363162435673,0.3392612859097127,0.693526601756813,0.5066394279877426,0.5177453027139874,0.496,-0.02200000000000002,1.148470129184376,28,1.0,0.27755102040816326,0.43450479233226835,0.496,49.6,0.9730891614859711,1.148470129184376,64,6.4,20,8
1,all_distance,receptor,All - distance,0.6940847595536703,0.5219206680584552,0.92304,0.6858710562414266,0.5219206680584552,1.0,0.07999999999999996,0.4783054023910255,1,1.0,0.8571428571428571,0.923076923076923,1.0,100.0,0.48580090798344744,0.4783054023910255,0,0.0,20,8
1,all_enhanced,ligand,All - enhanced cost,0.4888346452855992,0.3392612859097127,0.7043518384089708,0.5066394279877426,0.5177453027139874,0.496,-0.02200000000000002,1.148470129184376,28,1.0,0.3040816326530612,0.46635367762128327,0.496,49.6,0.9730891614859711,1.148470129184376,64,6.4,20,8
1,all_enhanced,receptor,All - enhanced cost,0.6940847595536703,0.5219206680584552,0.92304,0.6858710562414266,0.5219206680584552,1.0,0.07999999999999996,0.4783054023910255,1,1.0,0.8612244897959184,0.9254385964912281,1.0,100.0,0.48580090798344744,0.4783054023910255,0,0.0,20,8
1,separated_distance,ligand,Separated - distance,0.4907764223599068,0.3378932968536252,0.7128330126321816,0.5051124744376279,0.5167364016736402,0.494,-0.020000000000000018,1.1490960096307266,26,1.0,0.21428571428571427,0.35294117647058826,0.49399999999999994,49.39999999999999,0.9715229046136207,1.1490960096307266,64,6.4,20,8
1,separated_distance,receptor,Separated - distance,0.7231960676754646,0.5230125523012552,1.0,0.6868131868131868,0.5230125523012552,1.0,0.08799999999999997,0.4783054023910255,0,1.0,1.0,1.0,1.0,100.0,0.48580090798344744,0.4783054023910255,0,0.0,20,8
