runtime_s,n_tracks,link_precision,link_recall,link_f1,link_tp,link_fp,link_fn,mean_coverage,median_coverage,mean_fragments_per_gt_x,max_fragments_per_gt,assigned_tracks,unassigned_tracks,median_position_error_px,mean_position_error_px,labelable_tracks,assignment_accuracy,assignment_weighted_accuracy,truth_label_purity,truth_label_median_error_px,n_assignment_rows,n_assignment_cols,n_assigned_pairs,n_unassigned_rows,duplicate_gt_assignments,high_cost_assignments,invalid_cost_assignments,assignment_mean_cost,assignment_median_cost,stage,peak_config,peak_family,peak_distance_weight,peak_intensity_weight,peak_sigma_weight,traj_config,traj_family,traj_position_weight,traj_length_weight,traj_start_frame_weight,seed,nposframe,poisson_noise,difficulty,candidate_tracks,total_peaks,mean_peaks_per_frame,median_peaks_per_frame,peak_objective,traj_objective,mota,motp,idf1,recall,precision,num_switches,motp_manual,mean_fragments_per_gt_y
0.2019170001149177,33,1.0,0.3946078431372549,0.5659050966608085,161,0,247,0.4571428571428571,0.3285714285714285,1.0,1.0,12,21,0.9919576409889596,1.291824212624329,32,0.375,0.5065963060686016,0.9449419267601086,1.2797461256731213,33,12,12,21,0,0,0,0.1705813029160102,0.1636847555637359,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,position_only,ablation,1.0,0.0,0.0,0,3,80,"npos=3, noise=80",33,485,13.857142857142858,13.0,0.4695078673727001,0.4355443815635978,0.3546666666666667,1.0082885744579624,0.4765625,0.36533333333333334,1.0,8.0,0.9631304154270623,4.0
0.0343547998927533,33,1.0,0.4509803921568627,0.6216216216216216,184,0,224,0.5261904761904762,0.4,1.0,1.0,12,21,50.04355408547895,55.157947752857005,32,0.0625,0.100263852242744,0.9449419267601086,1.2797461256731213,33,12,12,21,0,0,0,1.658333337555329,2.100000023841858,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,length_only,ablation,0.0,1.0,0.0,0,3,80,"npos=3, noise=80",33,485,13.857142857142858,13.0,0.4273980076948415,0.2270093350040579,0.3546666666666667,1.0082885744579624,0.4765625,0.36533333333333334,1.0,8.0,0.9631304154270623,4.0
0.0294145999941974,33,1.0,0.2377450980392156,0.3841584158415841,97,0,311,0.3047619047619047,0.2857142857142857,1.0,1.0,12,21,64.6423232659026,65.05338031214087,32,0.03125,0.0184696569920844,0.9449419267601086,1.2797461256731213,33,12,12,21,0,0,0,0.0666666689018408,0.0,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,start_only,ablation,0.0,0.0,1.0,0,3,80,"npos=3, noise=80",33,485,13.857142857142858,13.0,0.2410401326600808,0.1244252878925284,0.3546666666666667,1.0082885744579624,0.4765625,0.36533333333333334,1.0,8.0,0.9631304154270623,4.0
0.2398979999125003,33,1.0,0.4142156862745098,0.58578856152513,169,0,239,0.4738095238095238,0.3428571428571428,1.0,1.0,12,21,0.9725439669761357,1.2998471950747703,32,0.375,0.525065963060686,0.9449419267601086,1.2797461256731213,33,12,12,21,0,0,0,0.3383502550423145,0.3855943381786346,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_len_90_10,position_length,0.9,0.1,0.0,0,3,80,"npos=3, noise=80",33,485,13.857142857142858,13.0,0.4864595162978883,0.4458051554511499,0.3546666666666667,1.0082885744579624,0.4765625,0.36533333333333334,1.0,8.0,0.9631304154270623,4.0
0.1594557000789791,33,1.0,0.4509803921568627,0.6216216216216216,184,0,224,0.5142857142857143,0.4,1.0,1.0,12,21,1.0308298572750227,1.4611272256567474,32,0.375,0.5699208443271768,0.9449419267601086,1.2797461256731213,33,12,12,21,0,0,0,0.5736476853489876,0.7129952907562256,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_len_75_25,position_length,0.75,0.25,0.0,0,3,80,"npos=3, noise=80",33,485,13.857142857142858,13.0,0.5210047540665347,0.46823310683469,0.3546666666666667,1.0082885744579624,0.4765625,0.36533333333333334,1.0,8.0,0.9631304154270623,4.0
0.148348200134933,33,1.0,0.4583333333333333,0.6285714285714286,187,0,221,0.5190476190476191,0.4,1.0,1.0,12,21,1.045351055552507,1.5039035828159582,32,0.375,0.575197889182058,0.9449419267601086,1.2797461256731213,33,12,12,21,0,0,0,0.7968914806842804,1.0024924874305725,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_len_60_40,position_length,0.6,0.4,0.0,0,3,80,"npos=3, noise=80",33,485,13.857142857142858,13.0,0.5264072359666059,0.4714185199145621,0.3546666666666667,1.0082885744579624,0.4765625,0.36533333333333334,1.0,8.0,0.9631304154270623,4.0
0.1762635000050068,33,1.0,0.2965686274509804,0.4574669187145557,121,0,287,0.3666666666666666,0.3142857142857143,1.0,1.0,12,21,1.2047387192932475,1.7506147583036926,32,0.375,0.4063324538258575,0.9449419267601086,1.2797461256731213,33,12,12,21,0,0,0,0.234557910511891,0.2273877188563347,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_start_90_10,position_start,0.9,0.0,0.1,0,3,80,"npos=3, noise=80",33,485,13.857142857142858,13.0,0.3768322239004735,0.3797431638660422,0.3546666666666667,1.0082885744579624,0.4765625,0.36533333333333334,1.0,8.0,0.9631304154270623,4.0
0.156356600113213,33,1.0,0.2965686274509804,0.4574669187145557,121,0,287,0.3666666666666666,0.3142857142857143,1.0,1.0,12,21,1.2047387192932475,1.7506147583036926,32,0.375,0.4063324538258575,0.9449419267601086,1.2797461256731213,33,12,12,21,0,0,0,0.2399093713611364,0.19973124563694,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_start_75_25,position_start,0.75,0.0,0.25,0,3,80,"npos=3, noise=80",33,485,13.857142857142858,13.0,0.3768322239004735,0.3797431638660422,0.3546666666666667,1.0082885744579624,0.4765625,0.36533333333333334,1.0,8.0,0.9631304154270623,4.0
0.1087431998457759,33,1.0,0.2990196078431372,0.460377358490566,122,0,286,0.3595238095238095,0.3,1.0,1.0,12,21,1.2797461256731213,1.9296971179427715,32,0.34375,0.3720316622691293,0.9449419267601086,1.2797461256731213,33,12,12,21,0,0,0,0.2443515838434299,0.159785009920597,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_start_60_40,position_start,0.6,0.0,0.4,0,3,80,"npos=3, noise=80",33,485,13.857142857142858,13.0,0.3710753329953305,0.3585357682177765,0.3546666666666667,1.0082885744579624,0.4765625,0.36533333333333334,1.0,8.0,0.9631304154270623,4.0
0.1098049997817725,33,1.0,0.3897058823529412,0.5608465608465609,159,0,249,0.4619047619047619,0.3571428571428571,1.0,1.0,12,21,1.045351055552507,1.5194980321592069,32,0.375,0.5118733509234829,0.9449419267601086,1.2797461256731213,33,12,12,21,0,0,0,0.4090737675627072,0.4237037897109985,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_meta_80_10_10,all_terms,0.8,0.1,0.1,0,3,80,"npos=3, noise=80",33,485,13.857142857142858,13.0,0.4687604070796715,0.4363281260906591,0.3546666666666667,1.0082885744579624,0.4765625,0.36533333333333334,1.0,8.0,0.9631304154270623,4.0
0.1194545000325888,33,1.0,0.4215686274509804,0.593103448275862,172,0,236,0.4928571428571429,0.4,1.0,1.0,12,21,1.0261933784291597,1.4736659404097108,32,0.375,0.5461741424802111,0.9449419267601086,1.2797461256731213,33,12,12,21,0,0,0,0.5670241092642149,0.6196039617061615,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_meta_70_20_10,all_terms,0.7,0.2,0.1,0,3,80,"npos=3, noise=80",33,485,13.857142857142858,13.0,0.497843906055139,0.4544499395609395,0.3546666666666667,1.0082885744579624,0.4765625,0.36533333333333334,1.0,8.0,0.9631304154270623,4.0
0.1114554000087082,33,1.0,0.3848039215686274,0.5557522123893806,157,0,251,0.4547619047619047,0.3571428571428571,1.0,1.0,12,21,1.0522414966511968,1.5342300720551083,32,0.375,0.503957783641161,0.9449419267601086,1.2797461256731213,33,12,12,21,0,0,0,0.6151976486047109,0.6490278542041779,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_meta_60_20_20,all_terms,0.6,0.2,0.2,0,3,80,"npos=3, noise=80",33,485,13.857142857142858,13.0,0.4632143443188986,0.4326160788643568,0.3546666666666667,1.0082885744579624,0.4765625,0.36533333333333334,1.0,8.0,0.9631304154270623,4.0
0.0961034998763352,33,1.0,0.3504901960784313,0.5190562613430126,143,0,265,0.4261904761904762,0.3285714285714285,1.0,1.0,12,21,1.2211612574216375,1.828054002588272,32,0.375,0.4722955145118733,0.9449419267601086,1.2797461256731213,33,12,12,21,0,0,0,0.884818517913421,0.9237870275974274,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,equal_all,all_terms,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,3,80,"npos=3, noise=80",33,485,13.857142857142858,13.0,0.4323407221805752,0.4145041785156185,0.3546666666666667,1.0082885744579624,0.4765625,0.36533333333333334,1.0,8.0,0.9631304154270623,4.0
0.0979299000464379,30,1.0,0.3333333333333333,0.5,136,0,272,0.3785714285714286,0.3285714285714285,1.0,1.0,12,18,0.8490574207603758,1.0916404126583683,30,0.4,0.3916256157635468,0.9527904319622584,1.2043514288416672,30,12,12,18,0,0,0,0.1492598615586757,0.1529279127717018,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,position_only,ablation,1.0,0.0,0.0,1,3,80,"npos=3, noise=80",30,456,13.028571428571428,13.0,0.4002027341795377,0.3957635467980295,0.3773333333333333,1.0997558422057867,0.4985563041385948,0.38533333333333336,1.0,6.0,0.9505609715980109,3.6
0.0172189001459628,30,1.0,0.5220588235294118,0.6859903381642513,213,0,195,0.588095238095238,0.5571428571428572,1.0,1.0,12,18,77.9607158623391,78.12558013735935,30,0.0,0.0,0.9527904319622584,1.2043514288416672,30,12,12,18,0,0,0,1.4416666477918625,1.550000011920929,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,length_only,ablation,0.0,1.0,0.0,1,3,80,"npos=3, noise=80",30,456,13.028571428571428,13.0,0.4600189786059351,0.196007591442374,0.3773333333333333,1.0997558422057867,0.4985563041385948,0.38533333333333336,1.0,6.0,0.9505609715980109,3.6
0.0202993999700993,30,1.0,0.4068627450980392,0.578397212543554,166,0,242,0.4642857142857142,0.4,1.0,1.0,12,18,81.35190297643483,75.23477536477283,30,0.0,0.0,0.9527904319622584,1.2043514288416672,30,12,12,18,0,0,0,0.050000000745058,0.0,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,start_only,ablation,0.0,0.0,1.0,1,3,80,"npos=3, noise=80",30,456,13.028571428571428,13.0,0.3752700348432055,0.1621080139372822,0.3773333333333333,1.0997558422057867,0.4985563041385948,0.38533333333333336,1.0,6.0,0.9505609715980109,3.6
0.1604717001318931,30,1.0,0.4705882352941176,0.6399999999999999,192,0,216,0.5357142857142857,0.5571428571428572,1.0,1.0,12,18,0.9688241131339684,1.3930809881490465,30,0.4,0.5541871921182266,0.9527904319622584,1.2043514288416672,30,12,12,18,0,0,0,0.3188859447836876,0.3398671448230743,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_len_90_10,position_length,0.9,0.1,0.0,1,3,80,"npos=3, noise=80",30,456,13.028571428571428,13.0,0.5334235598220529,0.4801182266009852,0.3773333333333333,1.0997558422057867,0.4985563041385948,0.38533333333333336,1.0,6.0,0.9505609715980109,3.6
0.1134960001800209,30,1.0,0.4926470588235294,0.6600985221674877,201,0,207,0.5619047619047619,0.5571428571428572,1.0,1.0,12,18,1.0246218190582097,1.5064792063779238,30,0.4,0.5812807881773399,0.9527904319622584,1.2043514288416672,30,12,12,18,0,0,0,0.529473410298427,0.5157583206892014,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_len_75_25,position_length,0.75,0.25,0.0,1,3,80,"npos=3, noise=80",30,456,13.028571428571428,13.0,0.553875237965067,0.4935303776683087,0.3773333333333333,1.0997558422057867,0.4985563041385948,0.38533333333333336,1.0,6.0,0.9505609715980109,3.6
0.127315699821338,30,1.0,0.5024509803921569,0.6688417618270799,205,0,203,0.5642857142857143,0.5571428571428572,1.0,1.0,12,18,1.0368671922407902,1.5334554793492094,30,0.4,0.583743842364532,0.9527904319622584,1.2043514288416672,30,12,12,18,0,0,0,0.730088137400647,0.7153515517711639,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_len_60_40,position_length,0.6,0.4,0.0,1,3,80,"npos=3, noise=80",30,456,13.028571428571428,13.0,0.5591656338687454,0.4961328843851204,0.3773333333333333,1.0997558422057867,0.4985563041385948,0.38533333333333336,1.0,6.0,0.9505609715980109,3.6
