gt_total,localized_total,mean_gt_per_frame,mean_localized_per_frame,mean_abs_count_error_per_frame,rmse_count_per_frame,tp,fp,fn,precision,recall,f1,mean_position_error_px,median_position_error_px,mean_kept_r2,mean_kept_sigma_px,mean_kept_intensity,seed,r2_threshold,runtime_s
120,72,8.0,4.8,3.2,3.4253953543107007,68,4,52,0.9444444444444444,0.5666666666666667,0.7083333333333334,0.8677758447598207,0.8182529864886797,0.8880797742796567,1.1115865577723443,581.0120773536366,0,0.2,0.7373544001020491
120,72,8.0,4.8,3.2,3.4253953543107007,68,4,52,0.9444444444444444,0.5666666666666667,0.7083333333333334,0.8677758447598207,0.8182529864886797,0.8880797742796567,1.1115865577723443,581.0120773536366,0,0.3,0.7627888000570238
120,72,8.0,4.8,3.2,3.4253953543107007,68,4,52,0.9444444444444444,0.5666666666666667,0.7083333333333334,0.8677758447598207,0.8182529864886797,0.8880797742796567,1.1115865577723443,581.0120773536366,0,0.4,0.7088462000247091
120,70,8.0,4.666666666666667,3.3333333333333335,3.596294389136314,66,4,54,0.9428571428571428,0.55,0.6947368421052631,0.8653466213982712,0.8152693363548692,0.9000489869011422,1.1187082594880144,588.1996134373564,0,0.5,0.7822928000241518
120,68,8.0,4.533333333333333,3.466666666666667,3.723797345005051,65,3,55,0.9558823529411765,0.5416666666666666,0.6914893617021276,0.8745859216147952,0.8182197491123764,0.9096449041547587,1.1312375861754724,593.3821632124228,0,0.6,0.8292457000352442
120,68,8.0,4.533333333333333,3.466666666666667,3.723797345005051,65,3,55,0.9558823529411765,0.5416666666666666,0.6914893617021276,0.8745859216147952,0.8182197491123764,0.9096449041547587,1.1312375861754724,593.3821632124228,0,0.7,0.7412757999263704
120,65,8.0,4.333333333333333,3.6666666666666665,3.941235001028654,63,2,57,0.9692307692307692,0.525,0.681081081081081,0.8708970012491185,0.812318923597362,0.9175867416033053,1.1372071010042637,597.0009414380868,0,0.8,0.7502949999179691
120,46,8.0,3.066666666666667,4.933333333333334,5.059644256269407,46,0,74,1.0,0.38333333333333336,0.5542168674698795,0.738283515676982,0.7154655886669736,0.9441384155499049,1.086001537821682,633.6227914329079,0,0.9,0.6630589000415057
115,90,7.666666666666667,6.0,1.6666666666666667,1.9148542155126762,90,0,25,1.0,0.782608695652174,0.878048780487805,0.9043407651274822,0.7561971354727042,0.924978446541337,1.149128631448647,588.4393931616414,1,0.2,0.943284000037238
115,90,7.666666666666667,6.0,1.6666666666666667,1.9148542155126762,90,0,25,1.0,0.782608695652174,0.878048780487805,0.9043407651274822,0.7561971354727042,0.924978446541337,1.149128631448647,588.4393931616414,1,0.3,0.7574620998930186
115,90,7.666666666666667,6.0,1.6666666666666667,1.9148542155126762,90,0,25,1.0,0.782608695652174,0.878048780487805,0.9043407651274822,0.7561971354727042,0.924978446541337,1.149128631448647,588.4393931616414,1,0.4,0.7688512001186609
115,90,7.666666666666667,6.0,1.6666666666666667,1.9148542155126762,90,0,25,1.0,0.782608695652174,0.878048780487805,0.9043407651274822,0.7561971354727042,0.924978446541337,1.149128631448647,588.4393931616414,1,0.5,0.7688225999008864
115,90,7.666666666666667,6.0,1.6666666666666667,1.9148542155126762,90,0,25,1.0,0.782608695652174,0.878048780487805,0.9043407651274822,0.7561971354727042,0.924978446541337,1.149128631448647,588.4393931616414,1,0.6,0.7072918999474496
115,89,7.666666666666667,5.933333333333334,1.7333333333333334,2.0330600909302543,89,0,26,1.0,0.7739130434782608,0.8725490196078431,0.8850036391551539,0.7516523036736517,0.9277902760528706,1.1503110139697958,591.8129476819277,1,0.7,0.7303669999819249
115,88,7.666666666666667,5.866666666666666,1.8,2.0816659994661326,88,0,27,1.0,0.7652173913043478,0.8669950738916257,0.8751595812506626,0.7454903995542451,0.9301346634521043,1.1466229383567936,593.1017667585843,1,0.8,0.8190939000342041
115,74,7.666666666666667,4.933333333333334,2.7333333333333334,2.9097537123726926,74,0,41,1.0,0.6434782608695652,0.7830687830687831,0.8070221478877941,0.7209662792846375,0.9427516207387522,1.1315665272251287,618.6671359548734,1,0.9,0.9109569999855012
120,79,8.0,5.266666666666667,2.7333333333333334,3.0659419433511785,77,2,43,0.9746835443037974,0.6416666666666667,0.7738693467336684,0.930299237789621,0.7664748884353014,0.9127512347881177,1.1486433129075653,559.3920848818522,2,0.2,0.6148796000052243
120,79,8.0,5.266666666666667,2.7333333333333334,3.0659419433511785,77,2,43,0.9746835443037974,0.6416666666666667,0.7738693467336684,0.930299237789621,0.7664748884353014,0.9127512347881177,1.1486433129075653,559.3920848818522,2,0.3,0.6377800998743623
120,79,8.0,5.266666666666667,2.7333333333333334,3.0659419433511785,77,2,43,0.9746835443037974,0.6416666666666667,0.7738693467336684,0.930299237789621,0.7664748884353014,0.9127512347881177,1.1486433129075653,559.3920848818522,2,0.4,0.6016140000429004
120,79,8.0,5.266666666666667,2.7333333333333334,3.0659419433511785,77,2,43,0.9746835443037974,0.6416666666666667,0.7738693467336684,0.930299237789621,0.7664748884353014,0.9127512347881177,1.1486433129075653,559.3920848818522,2,0.5,0.5611638000700623
120,79,8.0,5.266666666666667,2.7333333333333334,3.0659419433511785,77,2,43,0.9746835443037974,0.6416666666666667,0.7738693467336684,0.930299237789621,0.7664748884353014,0.9127512347881177,1.1486433129075653,559.3920848818522,2,0.6,0.5556076001375914
120,79,8.0,5.266666666666667,2.7333333333333334,3.0659419433511785,77,2,43,0.9746835443037974,0.6416666666666667,0.7738693467336684,0.930299237789621,0.7664748884353014,0.9127512347881177,1.1486433129075653,559.3920848818522,2,0.7,0.5975363999605179
120,73,8.0,4.866666666666666,3.1333333333333333,3.3366650016645862,71,2,49,0.9726027397260274,0.5916666666666667,0.7357512953367875,0.9003055110508978,0.7664748884353014,0.9242002764052875,1.1222124120995138,569.2678757480528,2,0.8,0.5712838999461383
120,56,8.0,3.7333333333333334,4.266666666666667,4.412104562073146,54,2,66,0.9642857142857143,0.45,0.6136363636363636,0.7626566954091993,0.6117750680605121,0.9409722510261116,1.0722496707929143,594.1472120828655,2,0.9,0.681016799993813
