seed,mota,motp,idf1,recall,precision,num_switches,motp_manual,mean_fragments_per_gt
0,0.3546666666666667,1.0082885744579624,0.4765625,0.36533333333333334,1.0,8.0,0.9631304154270623,4.0
1,0.3773333333333333,1.0997558422057867,0.4985563041385948,0.38533333333333336,1.0,6.0,0.9505609715980109,3.6
2,0.41333333333333333,1.3056814255589713,0.5088536812674743,0.43066666666666664,1.0,13.0,1.1197473781799803,5.6
3,0.30800000000000005,1.6364018331960763,0.3370110330992979,0.328,0.9959514170040485,14.0,1.292252335793773,6.6
