runtime_s,n_tracks,link_precision,link_recall,link_f1,link_tp,link_fp,link_fn,mean_coverage,median_coverage,mean_fragments_per_gt_x,max_fragments_per_gt,assigned_tracks,unassigned_tracks,median_position_error_px,mean_position_error_px,labelable_tracks,assignment_accuracy,assignment_weighted_accuracy,truth_label_purity,truth_label_median_error_px,n_assignment_rows,n_assignment_cols,n_assigned_pairs,n_unassigned_rows,duplicate_gt_assignments,high_cost_assignments,invalid_cost_assignments,assignment_mean_cost,assignment_median_cost,stage,peak_config,peak_family,peak_distance_weight,peak_intensity_weight,peak_sigma_weight,traj_config,seed,nposframe,poisson_noise,difficulty,total_peaks,mean_peaks_per_frame,median_peaks_per_frame,peak_objective,traj_objective,mota,motp,idf1,recall,precision,num_switches,motp_manual,mean_fragments_per_gt_y
0.410308999940753,33,1.0,0.25,0.4,102,0,306,0.3071428571428571,0.3285714285714285,1.0,1.0,12,21,0.9417693317127138,1.3391958162357869,31,0.3870967741935484,0.356353591160221,0.9498273706969358,1.2797461256731213,33,12,12,21,0,0,0,0.1745851567635933,0.1675966307520866,peak2peak,distance_only,ablation,1.0,0.0,0.0,position_only,0,3,80,"npos=3, noise=80",485,13.857142857142858,13.0,0.3267071179658248,0.3546413931817603,0.3546666666666667,1.0082885744579624,0.4765625,0.36533333333333334,1.0,8.0,0.9631304154270623,4.0
0.4453646000474691,32,1.0,0.3455882352941176,0.5136612021857923,141,0,267,0.4166666666666667,0.4285714285714286,1.0,1.0,12,20,1.05942201901347,1.5744365164783558,26,0.4230769230769231,0.5137614678899083,0.8733249389499389,1.2489642335470936,32,12,12,20,0,0,0,0.2083995901048183,0.174919493496418,peak2peak,intensity_only,ablation,0.0,1.0,0.0,position_only,0,3,80,"npos=3, noise=80",485,13.857142857142858,13.0,0.4340886553717485,0.4420700433070714,0.3546666666666667,1.0082885744579624,0.4765625,0.36533333333333334,1.0,8.0,0.9631304154270623,4.0
0.427450800081715,25,1.0,0.4730392156862745,0.6422628951747088,193,0,215,0.5595238095238094,0.3857142857142857,1.0,1.0,12,13,1.1672007673636815,1.7368670235611696,24,0.5,0.6167979002624672,0.8821580459770115,1.30184529139144,25,12,12,13,0,0,0,0.2356208190321922,0.2303076013922691,peak2peak,sigma_only,ablation,0.0,0.0,1.0,position_only,0,3,80,"npos=3, noise=80",485,13.857142857142858,13.0,0.549155082130063,0.5386044350529395,0.3546666666666667,1.0082885744579624,0.4765625,0.36533333333333334,1.0,8.0,0.9631304154270623,4.0
0.2600861000828445,33,1.0,0.3088235294117647,0.4719101123595506,126,0,282,0.369047619047619,0.3285714285714285,1.0,1.0,12,21,0.9063249205872044,1.4418756210777668,33,0.3636363636363636,0.3884711779448621,0.970506362324544,1.290619098669922,33,12,12,21,0,0,0,0.1790857234348853,0.172134667634964,peak2peak,dist_int_90_10,distance_intensity,0.9,0.1,0.0,position_only,0,3,80,"npos=3, noise=80",485,13.857142857142858,13.0,0.3830889191812073,0.373859124317433,0.3546666666666667,1.0082885744579624,0.4765625,0.36533333333333334,1.0,8.0,0.9631304154270623,4.0
0.2297036000527441,34,1.0,0.3406862745098039,0.5082266910420475,139,0,269,0.4047619047619047,0.3428571428571428,1.0,1.0,12,22,0.958538517331624,1.3098703516429129,33,0.3636363636363636,0.4370179948586118,0.9490068754774638,1.2851826121715215,34,12,12,22,0,0,0,0.1719865351915359,0.1679916754364967,peak2peak,dist_int_75_25,distance_intensity,0.75,0.25,0.0,position_only,0,3,80,"npos=3, noise=80",485,13.857142857142858,13.0,0.4172620015002981,0.3968305728537984,0.3546666666666667,1.0082885744579624,0.4765625,0.36533333333333334,1.0,8.0,0.9631304154270623,4.0
0.2205634999554604,33,1.0,0.3946078431372549,0.5659050966608085,161,0,247,0.4571428571428571,0.3285714285714285,1.0,1.0,12,21,0.9919576409889596,1.291824212624329,32,0.375,0.5065963060686016,0.9449419267601086,1.2797461256731213,33,12,12,21,0,0,0,0.1705813029160102,0.1636847555637359,peak2peak,dist_int_60_40,distance_intensity,0.6,0.4,0.0,position_only,0,3,80,"npos=3, noise=80",485,13.857142857142858,13.0,0.4695078673727001,0.4355443815635978,0.3546666666666667,1.0082885744579624,0.4765625,0.36533333333333334,1.0,8.0,0.9631304154270623,4.0
0.2017188998870551,31,1.0,0.3700980392156863,0.5402504472271914,151,0,257,0.4238095238095238,0.3571428571428571,1.0,1.0,12,19,0.9160135499776184,1.2778355064776687,30,0.4,0.4623376623376623,0.9550858818600754,1.2925099718092163,31,12,12,19,0,0,0,0.1772282011806965,0.1752734929323196,peak2peak,dist_sig_90_10,distance_sigma,0.9,0.0,0.1,position_only,0,3,80,"npos=3, noise=80",485,13.857142857142858,13.0,0.4419932031042099,0.4260154574108062,0.3546666666666667,1.0082885744579624,0.4765625,0.36533333333333334,1.0,8.0,0.9631304154270623,4.0
0.2289367001503706,26,1.0,0.5,0.6666666666666666,204,0,204,0.5595238095238094,0.4285714285714285,1.0,1.0,12,14,1.0108067899445436,1.3401179342381235,26,0.4615384615384615,0.6200527704485488,0.9811822792592024,1.297177631600328,26,12,12,14,0,0,0,0.1784553825855255,0.1689292937517166,peak2peak,dist_sig_75_25,distance_sigma,0.75,0.0,0.25,position_only,0,3,80,"npos=3, noise=80",485,13.857142857142858,13.0,0.5624316758192759,0.5289142915132361,0.3546666666666667,1.0082885744579624,0.4765625,0.36533333333333334,1.0,8.0,0.9631304154270623,4.0
0.2072435999289155,27,1.0,0.4656862745098039,0.6354515050167223,190,0,218,0.5357142857142857,0.4571428571428571,1.0,1.0,12,15,1.0148426136117952,1.4222783589056724,27,0.4444444444444444,0.5936675461741425,0.9746808108877074,1.2737777978580294,27,12,12,15,0,0,0,0.1833967094620069,0.1809850484132766,peak2peak,dist_sig_60_40,distance_sigma,0.6,0.0,0.4,position_only,0,3,80,"npos=3, noise=80",485,13.857142857142858,13.0,0.5368987960620099,0.5068563938960865,0.3546666666666667,1.0082885744579624,0.4765625,0.36533333333333334,1.0,8.0,0.9631304154270623,4.0
0.2340101001318544,33,1.0,0.3186274509803921,0.483271375464684,130,0,278,0.3714285714285714,0.3571428571428571,1.0,1.0,12,21,0.9480176275743536,1.35346891002756,32,0.375,0.4116094986807387,0.95271546635183,1.293335207549672,33,12,12,21,0,0,0,0.1785895023494959,0.1747806370258331,peak2peak,dist_meta_80_10_10,all_terms,0.8,0.1,0.1,position_only,0,3,80,"npos=3, noise=80",485,13.857142857142858,13.0,0.3926791892881918,0.3866995069059786,0.3546666666666667,1.0082885744579624,0.4765625,0.36533333333333334,1.0,8.0,0.9631304154270623,4.0
0.3383771001826972,33,1.0,0.3259803921568627,0.4916820702402957,133,0,275,0.3880952380952381,0.3428571428571428,1.0,1.0,12,21,0.9782144104796532,1.3642693197633184,32,0.375,0.4289473684210526,0.9363013249376886,1.2971126275154097,33,12,12,21,0,0,0,0.1834543117632468,0.191786527633667,peak2peak,dist_meta_70_20_10,all_terms,0.7,0.2,0.1,position_only,0,3,80,"npos=3, noise=80",485,13.857142857142858,13.0,0.4035386458678165,0.3943827799628461,0.3546666666666667,1.0082885744579624,0.4765625,0.36533333333333334,1.0,8.0,0.9631304154270623,4.0
