difficulty_order,difficulty,seed,algo,algo_label,hota,deta,assa,tp,fp,fn,runtime_s,mean_cost_peak2peak,n_tracks,n_gt,nparticles,nframes,nposframe,poisson_noise,D_multiplier,truth_match_tolerance_px,tracking_max_distance,total_peaks,mean_peaks_per_frame
2,medium,3,greedy_nn,Greedy 1-to-1 NN,0.6593685617630736,0.6194144838212635,0.7018997966585476,402,49,198,0.07263389998115599,1.7300529344124975,27,12,12,50,4,100.0,1.0,3.0,10.0,494,9.88
2,medium,3,mutual_nn,Mutual NN,0.6593685617630736,0.6194144838212635,0.7018997966585476,402,49,198,0.08455420006066561,1.7300529344124975,27,12,12,50,4,100.0,1.0,3.0,10.0,494,9.88
2,medium,4,hungarian,Hungarian,0.735937181170169,0.6572327044025157,0.8240666220666258,418,36,182,0.5135847001802176,530614.0653586936,20,12,12,50,4,100.0,1.0,3.0,10.0,502,10.04
2,medium,4,greedy_nn,Greedy 1-to-1 NN,0.7293694450266357,0.6551724137931034,0.8119691490955483,418,38,182,0.47894159983843565,1.8215717111715817,21,12,12,50,4,100.0,1.0,3.0,10.0,502,10.04
2,medium,4,mutual_nn,Mutual NN,0.7293694450266357,0.6551724137931034,0.8119691490955483,418,38,182,0.40764150000177324,1.8215717111715817,21,12,12,50,4,100.0,1.0,3.0,10.0,502,10.04
3,hard,0,hungarian,Hungarian,0.742665814758731,0.7082324455205811,0.7787732910285338,585,26,215,0.8026377998758107,591838.692978857,26,16,16,50,6,140.0,1.25,3.0,10.0,664,13.28
3,hard,0,greedy_nn,Greedy 1-to-1 NN,0.6961100914783025,0.7077294685990339,0.6846814792340727,586,28,214,0.7717134000267833,1.9650600633276925,27,16,16,50,6,140.0,1.25,3.0,10.0,664,13.28
3,hard,0,mutual_nn,Mutual NN,0.6961100914783025,0.7077294685990339,0.6846814792340727,586,28,214,0.7721863000188023,1.9650600633276925,27,16,16,50,6,140.0,1.25,3.0,10.0,664,13.28
3,hard,1,hungarian,Hungarian,0.701316985471161,0.6698450536352801,0.7342675913498027,562,39,238,0.8530172999016941,816328.728512374,30,16,16,50,6,140.0,1.25,3.0,10.0,663,13.26
3,hard,1,greedy_nn,Greedy 1-to-1 NN,0.6856927202974001,0.6686531585220501,0.7031665081910231,561,39,239,0.7170764999464154,2.1767979501633743,30,16,16,50,6,140.0,1.25,3.0,10.0,663,13.26
3,hard,1,mutual_nn,Mutual NN,0.6856927202974001,0.6686531585220501,0.7031665081910231,561,39,239,0.7582114001270384,2.1767979501633743,30,16,16,50,6,140.0,1.25,3.0,10.0,663,13.26
3,hard,2,hungarian,Hungarian,0.6998750940415582,0.6755126658624849,0.725116155496919,560,29,240,0.7028369000181556,653063.0007724608,29,16,16,50,6,140.0,1.25,3.0,10.0,643,12.86
3,hard,2,greedy_nn,Greedy 1-to-1 NN,0.7118365086386673,0.6706875753920386,0.755510067015478,556,29,244,0.5792225999757648,1.763711451410259,28,16,16,50,6,140.0,1.25,3.0,10.0,643,12.86
3,hard,2,mutual_nn,Mutual NN,0.7118365086386673,0.6706875753920386,0.755510067015478,556,29,244,0.584848000202328,1.763711451410259,28,16,16,50,6,140.0,1.25,3.0,10.0,643,12.86
3,hard,3,hungarian,Hungarian,0.7381238278357503,0.684652278177458,0.7957715216682362,571,34,229,0.7494580000638962,653063.3728350803,24,16,16,50,6,140.0,1.25,3.0,10.0,670,13.4
3,hard,3,greedy_nn,Greedy 1-to-1 NN,0.7570546283457131,0.6838323353293413,0.8381172996501243,571,35,229,0.6635358000639826,2.1512152525745996,25,16,16,50,6,140.0,1.25,3.0,10.0,670,13.4
3,hard,3,mutual_nn,Mutual NN,0.7570546283457131,0.6838323353293413,0.8381172996501243,571,35,229,0.6766172000207007,2.1512152525745996,25,16,16,50,6,140.0,1.25,3.0,10.0,670,13.4
3,hard,4,hungarian,Hungarian,0.5726836897320716,0.5458879618593564,0.6007947260240877,458,39,342,0.6208556999918073,816328.4716938068,24,16,16,50,6,140.0,1.25,3.0,10.0,561,11.22
3,hard,4,greedy_nn,Greedy 1-to-1 NN,0.5726836897320716,0.5458879618593564,0.6007947260240877,458,39,342,0.4978775999043137,1.9410815617943904,24,16,16,50,6,140.0,1.25,3.0,10.0,561,11.22
3,hard,4,mutual_nn,Mutual NN,0.5726836897320716,0.5458879618593564,0.6007947260240877,458,39,342,0.4608929001260549,1.9410815617943904,24,16,16,50,6,140.0,1.25,3.0,10.0,561,11.22
4,very hard,0,hungarian,Hungarian,0.6053207737273507,0.523854961832061,0.6994555092585807,549,48,451,0.9797429000027478,1204084.118652261,30,20,20,50,8,180.0,1.5,3.0,10.0,703,14.06
4,very hard,0,greedy_nn,Greedy 1-to-1 NN,0.6051830161068045,0.5181297709923665,0.7068624570301416,543,48,457,0.7795977999921888,2.415944923558843,29,20,20,50,8,180.0,1.5,3.0,10.0,703,14.06
4,very hard,0,mutual_nn,Mutual NN,0.6051830161068045,0.5181297709923665,0.7068624570301416,543,48,457,0.6973810000345111,2.415944923558843,29,20,20,50,8,180.0,1.5,3.0,10.0,703,14.06
4,very hard,1,hungarian,Hungarian,0.7136492862148285,0.6332046332046332,0.804313924769317,656,36,344,0.9166592000983655,938777.8511479953,26,20,20,50,8,180.0,1.5,3.0,10.0,764,15.28
4,very hard,1,greedy_nn,Greedy 1-to-1 NN,0.746488798035128,0.6270531400966184,0.8886735269455278,649,35,351,0.8371374001726508,2.239587406751377,26,20,20,50,8,180.0,1.5,3.0,10.0,764,15.28
4,very hard,1,mutual_nn,Mutual NN,0.746488798035128,0.6270531400966184,0.8886735269455278,649,35,351,0.8142578001134098,2.239587406751377,26,20,20,50,8,180.0,1.5,3.0,10.0,764,15.28
4,very hard,2,hungarian,Hungarian,0.6428772508209765,0.5053763440860215,0.8177888903181216,517,23,483,0.16002140007913113,1306124.5211086578,20,20,20,50,8,180.0,1.5,3.0,10.0,659,13.18
4,very hard,2,greedy_nn,Greedy 1-to-1 NN,0.632872859660132,0.5058708414872799,0.7917595236697672,517,22,483,0.12343420018441975,2.058157374178967,21,20,20,50,8,180.0,1.5,3.0,10.0,659,13.18
4,very hard,2,mutual_nn,Mutual NN,0.632872859660132,0.5058708414872799,0.7917595236697672,517,22,483,0.11085970001295209,2.058157374178967,21,20,20,50,8,180.0,1.5,3.0,10.0,659,13.18
4,very hard,3,hungarian,Hungarian,0.6080717798928756,0.4877571008814887,0.7580643907261719,498,21,502,0.14771269983612,1469389.7611114923,25,20,20,50,8,180.0,1.5,3.0,10.0,649,12.98
4,very hard,3,greedy_nn,Greedy 1-to-1 NN,0.6263739675020169,0.48579823702252695,0.8076281823682787,496,21,504,0.13199559994973242,1.9619701132831657,24,20,20,50,8,180.0,1.5,3.0,10.0,649,12.98
4,very hard,3,mutual_nn,Mutual NN,0.6263739675020169,0.48579823702252695,0.8076281823682787,496,21,504,0.11874000006355345,1.9619701132831657,24,20,20,50,8,180.0,1.5,3.0,10.0,649,12.98
4,very hard,4,hungarian,Hungarian,0.6412472941947995,0.5584795321637427,0.73628140089401,573,26,427,0.1807764999102801,1204083.7243065163,28,20,20,50,8,180.0,1.5,3.0,10.0,686,13.72
4,very hard,4,greedy_nn,Greedy 1-to-1 NN,0.6394121681580348,0.5570731707317074,0.7339213989637002,571,25,429,0.12905060010962188,2.0547392475870154,28,20,20,50,8,180.0,1.5,3.0,10.0,686,13.72
4,very hard,4,mutual_nn,Mutual NN,0.6394121681580348,0.5570731707317074,0.7339213989637002,571,25,429,0.11188600002788007,2.0547392475870154,28,20,20,50,8,180.0,1.5,3.0,10.0,686,13.72
