difficulty_order,difficulty,algo,algo_label,n,hota_mean,hota_ci95,deta_mean,deta_ci95,assa_mean,assa_ci95,tp_mean,tp_ci95,fp_mean,fp_ci95,fn_mean,fn_ci95,runtime_s_mean,runtime_s_ci95,n_tracks_mean,n_tracks_ci95,total_peaks_mean,total_peaks_ci95
1,easy,greedy_nn,Greedy 1-to-1 NN,5,0.6999591081004499,0.1781397148172305,0.8034169169586516,0.10438884765800613,0.6198159015649707,0.23387749042880965,350.6,24.610295731664827,39.8,25.56579402248246,49.4,24.610295731664824,0.06916408003307879,0.012141758440298248,20.8,7.601162016428804,417.2,15.123784711506573
1,easy,hungarian,Hungarian,5,0.7097620412088579,0.17006283548037995,0.8030737644093303,0.1042801622080685,0.6350359773076385,0.22161951570905536,349.2,25.90909461945747,38.0,24.028992488242196,50.8,25.90909461945747,0.07586592007428408,0.015781246484932093,19.6,6.778313654589908,417.2,15.123784711506573
1,easy,mutual_nn,Mutual NN,5,0.6999591081004499,0.1781397148172305,0.8034169169586516,0.10438884765800613,0.6198159015649707,0.23387749042880965,350.6,24.610295731664827,39.8,25.56579402248246,49.4,24.610295731664824,0.06901714000850916,0.010438455442564729,20.8,7.601162016428804,417.2,15.123784711506573
2,medium,greedy_nn,Greedy 1-to-1 NN,5,0.6952793211873057,0.04964898076683502,0.6925292594147155,0.06025085091532851,0.7013686508222265,0.07585620410012371,442.4,32.44732494366831,39.6,9.889749036249604,157.6,32.44732494366831,0.17644480001181365,0.149195871098259,22.8,3.4173767717358876,521.0,19.27388699769717
2,medium,hungarian,Hungarian,5,0.6970172193660005,0.07121339157112865,0.6929873749250671,0.05944284778459145,0.7046518394702608,0.10594856973798947,442.2,32.517102945988285,38.8,9.305356736847866,157.8,32.517102945988285,0.1938197999726981,0.15695585768801096,22.2,3.0616178729554084,521.0,19.27388699769717
2,medium,mutual_nn,Mutual NN,5,0.6952793211873057,0.04964898076683502,0.6925292594147155,0.06025085091532851,0.7013686508222265,0.07585620410012371,442.4,32.44732494366831,39.6,9.889749036249604,157.6,32.44732494366831,0.16115814000368117,0.12105555967457374,22.8,3.4173767717358876,521.0,19.27388699769717
3,hard,greedy_nn,Greedy 1-to-1 NN,5,0.684675527698431,0.05985290737882787,0.6553580999403641,0.05534875658077042,0.7164540160229571,0.07702881419802789,546.4,44.46479344380225,34.0,4.638206549950099,253.6,44.46479344380225,0.645885179983452,0.09558153845277034,26.8,2.092707337398137,640.2,39.81936694624866
3,hard,hungarian,Hungarian,5,0.6909330823678543,0.06052870009282218,0.656826081011032,0.055856320483164246,0.7269446571135157,0.0670338890176422,547.2,44.554555143105176,33.4,5.133553934653848,252.8,44.554555143105176,0.7457611399702728,0.07864017846160717,26.6,2.448039215372172,640.2,39.81936694624866
3,hard,mutual_nn,Mutual NN,5,0.684675527698431,0.05985290737882787,0.6553580999403641,0.05534875658077042,0.7164540160229571,0.07702881419802789,546.4,44.46479344380225,34.0,4.638206549950099,253.6,44.46479344380225,0.6505511600989848,0.11374117759377919,26.8,2.092707337398137,640.2,39.81936694624866
4,very hard,greedy_nn,Greedy 1-to-1 NN,5,0.6500661618924232,0.04857135243250272,0.5387850320660998,0.04888873994447494,0.7857690177954832,0.0620077034108737,555.2,52.15368121235547,30.2,9.982539957345525,444.8,52.15368121235547,0.40024312008172275,0.32706518244804356,25.6,2.813129218503835,692.2,39.87721033372319
4,very hard,hungarian,Hungarian,5,0.6422332769701662,0.03828571411857881,0.5417345144335893,0.05035776391309925,0.7631808231932402,0.04268267451029917,558.6,54.014271595569994,30.8,9.827401691189793,441.4,54.014271595569994,0.4769825399853289,0.37770185456033784,25.8,3.3030507110851324,692.2,39.87721033372319
4,very hard,mutual_nn,Mutual NN,5,0.6500661618924232,0.04857135243250272,0.5387850320660998,0.04888873994447494,0.7857690177954832,0.0620077034108737,555.2,52.15368121235547,30.2,9.982539957345525,444.8,52.15368121235547,0.3706249000504613,0.3103520838959258,25.6,2.813129218503835,692.2,39.87721033372319
