runtime_s,n_tracks,link_precision,link_recall,link_f1,link_tp,link_fp,link_fn,mean_coverage,median_coverage,mean_assigned_coverage,mean_fragments_per_gt,max_fragments_per_gt,assigned_tracks,unassigned_tracks,median_position_error_px,mean_position_error_px,assigned_median_position_error_px,assigned_mean_position_error_px,clear_tp,clear_fp,clear_fn,deta,assa,hota,mota,motp_px,id_switches,fragmentations,mean_fragmentations_per_gt,stage,peak_config,peak_family,peak_distance_weight,peak_intensity_weight,peak_sigma_weight,traj_config,traj_family,traj_position_weight,traj_length_weight,traj_start_frame_weight,candidate_tracks,seed,setup_index,setup,nparticles,intensity_mean,intensity_std,difficulty,cache_version,total_peaks,mean_peaks_per_frame,median_peaks_per_frame,n_gt_fragments,n_source_gt,mean_gt_length,median_gt_length,min_start_frame,max_start_frame,original_gt_count,peak_objective,traj_objective
0.09747730009257793,12,0.8275862068965517,0.47058823529411764,0.6,96,20,108,0.7260015568240789,0.9574468085106383,0.4937623248572911,1.0,1.0,5,7,0.9138184641811322,1.0088484125006116,0.8687345975202033,1.0572720261704025,153,58,56,0.5730337078651685,0.7098648241657619,0.6377903043122892,0.416267942583732,1.0088484125006116,8,16,3.2,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,position_only,ablation,1.0,0.0,0.0,12,0,0,S1,5,800.0,50.0,"S1: N=5, I=800+/-50",fragmented_gt_v2,235,4.7,5.0,5,5,41.8,41.0,0.0,9.0,5,0.6377903043122892,0.6
0.008880499983206391,12,0.8051948051948052,0.6078431372549019,0.6927374301675977,124,30,80,0.7260015568240789,0.9574468085106383,0.6284146341463415,1.0,1.0,5,7,0.9138184641811322,1.0088484125006116,62.56335188197283,58.05007247080029,153,58,56,0.5730337078651685,0.7098648241657619,0.6377903043122892,0.416267942583732,1.0088484125006116,8,16,3.2,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,length_only,ablation,0.0,1.0,0.0,12,0,0,S1,5,800.0,50.0,"S1: N=5, I=800+/-50",fragmented_gt_v2,235,4.7,5.0,5,5,41.8,41.0,0.0,9.0,5,0.6377903043122892,0.6927374301675977
0.009659799979999661,12,0.9323308270676691,0.6078431372549019,0.7359050445103857,124,9,80,0.7260015568240789,0.9574468085106383,0.649270887389725,1.0,1.0,5,7,0.9138184641811322,1.0088484125006116,50.755839125387496,56.020114356497544,153,58,56,0.5730337078651685,0.7098648241657619,0.6377903043122892,0.416267942583732,1.0088484125006116,8,16,3.2,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,start_only,ablation,0.0,0.0,1.0,12,0,0,S1,5,800.0,50.0,"S1: N=5, I=800+/-50",fragmented_gt_v2,235,4.7,5.0,5,5,41.8,41.0,0.0,9.0,5,0.6377903043122892,0.7359050445103857
0.051940999925136566,12,0.9191176470588235,0.6127450980392157,0.735294117647059,125,11,79,0.7260015568240789,0.9574468085106383,0.6571769590036326,1.0,1.0,5,7,0.9138184641811322,1.0088484125006116,0.9504021694724796,1.2862653024779347,153,58,56,0.5730337078651685,0.7098648241657619,0.6377903043122892,0.416267942583732,1.0088484125006116,8,16,3.2,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_len_90_10,position_length,0.9,0.1,0.0,12,0,0,S1,5,800.0,50.0,"S1: N=5, I=800+/-50",fragmented_gt_v2,235,4.7,5.0,5,5,41.8,41.0,0.0,9.0,5,0.6377903043122892,0.735294117647059
0.08719299989752471,12,0.9191176470588235,0.6127450980392157,0.735294117647059,125,11,79,0.7260015568240789,0.9574468085106383,0.6571769590036326,1.0,1.0,5,7,0.9138184641811322,1.0088484125006116,0.9504021694724796,1.2862653024779347,153,58,56,0.5730337078651685,0.7098648241657619,0.6377903043122892,0.416267942583732,1.0088484125006116,8,16,3.2,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_len_75_25,position_length,0.75,0.25,0.0,12,0,0,S1,5,800.0,50.0,"S1: N=5, I=800+/-50",fragmented_gt_v2,235,4.7,5.0,5,5,41.8,41.0,0.0,9.0,5,0.6377903043122892,0.735294117647059
0.07191359996795654,12,0.9191176470588235,0.6127450980392157,0.735294117647059,125,11,79,0.7260015568240789,0.9574468085106383,0.6571769590036326,1.0,1.0,5,7,0.9138184641811322,1.0088484125006116,0.9504021694724796,1.2862653024779347,153,58,56,0.5730337078651685,0.7098648241657619,0.6377903043122892,0.416267942583732,1.0088484125006116,8,16,3.2,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_len_60_40,position_length,0.6,0.4,0.0,12,0,0,S1,5,800.0,50.0,"S1: N=5, I=800+/-50",fragmented_gt_v2,235,4.7,5.0,5,5,41.8,41.0,0.0,9.0,5,0.6377903043122892,0.735294117647059
0.07489609997719526,12,0.7961165048543689,0.4019607843137255,0.5342019543973942,82,21,122,0.7260015568240789,0.9574468085106383,0.46184743124026983,1.0,1.0,5,7,0.9138184641811322,1.0088484125006116,0.9486580904986244,1.4095530141260266,153,58,56,0.5730337078651685,0.7098648241657619,0.6377903043122892,0.416267942583732,1.0088484125006116,8,16,3.2,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_start_90_10,position_start,0.9,0.0,0.1,12,0,0,S1,5,800.0,50.0,"S1: N=5, I=800+/-50",fragmented_gt_v2,235,4.7,5.0,5,5,41.8,41.0,0.0,9.0,5,0.6377903043122892,0.5342019543973942
0.07076440006494522,12,0.7961165048543689,0.4019607843137255,0.5342019543973942,82,21,122,0.7260015568240789,0.9574468085106383,0.46184743124026983,1.0,1.0,5,7,0.9138184641811322,1.0088484125006116,0.9486580904986244,1.4095530141260266,153,58,56,0.5730337078651685,0.7098648241657619,0.6377903043122892,0.416267942583732,1.0088484125006116,8,16,3.2,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_start_75_25,position_start,0.75,0.0,0.25,12,0,0,S1,5,800.0,50.0,"S1: N=5, I=800+/-50",fragmented_gt_v2,235,4.7,5.0,5,5,41.8,41.0,0.0,9.0,5,0.6377903043122892,0.5342019543973942
0.06393990013748407,12,0.9,0.5294117647058824,0.6666666666666667,108,12,96,0.7260015568240789,0.9574468085106383,0.5935547483134406,1.0,1.0,5,7,0.9138184641811322,1.0088484125006116,1.7094634601793102,3.8773897003905415,153,58,56,0.5730337078651685,0.7098648241657619,0.6377903043122892,0.416267942583732,1.0088484125006116,8,16,3.2,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_start_60_40,position_start,0.6,0.0,0.4,12,0,0,S1,5,800.0,50.0,"S1: N=5, I=800+/-50",fragmented_gt_v2,235,4.7,5.0,5,5,41.8,41.0,0.0,9.0,5,0.6377903043122892,0.6666666666666667
0.06610290007665753,12,0.8484848484848485,0.5490196078431373,0.6666666666666667,112,20,92,0.7260015568240789,0.9574468085106383,0.5937623248572911,1.0,1.0,5,7,0.9138184641811322,1.0088484125006116,0.9296527772776385,1.2951045385719786,153,58,56,0.5730337078651685,0.7098648241657619,0.6377903043122892,0.416267942583732,1.0088484125006116,8,16,3.2,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_meta_80_10_10,all_terms,0.8,0.1,0.1,12,0,0,S1,5,800.0,50.0,"S1: N=5, I=800+/-50",fragmented_gt_v2,235,4.7,5.0,5,5,41.8,41.0,0.0,9.0,5,0.6377903043122892,0.6666666666666667
