runtime_s,n_tracks,link_precision,link_recall,link_f1,link_tp,link_fp,link_fn,mean_coverage,median_coverage,mean_assigned_coverage,mean_fragments_per_gt,max_fragments_per_gt,assigned_tracks,unassigned_tracks,median_position_error_px,mean_position_error_px,assigned_median_position_error_px,assigned_mean_position_error_px,clear_tp,clear_fp,clear_fn,deta,assa,hota,hota_identity,hota_requires_identity_match,mota,motp_px,idtp,idfp,idfn,id_precision,id_recall,idf1,id_switches,fragmentations,mean_fragmentations_per_gt,stage,peak_config,peak_family,peak_distance_weight,peak_intensity_weight,peak_sigma_weight,traj_config,traj_family,traj_position_weight,traj_length_weight,traj_start_frame_weight,candidate_tracks,seed,setup_index,setup,nparticles,intensity_mean,intensity_std,difficulty,cache_version,total_peaks,mean_peaks_per_frame,median_peaks_per_frame,n_gt_fragments,n_source_gt,mean_gt_length,median_gt_length,min_start_frame,max_start_frame,original_gt_count,traj_objective
0.2641576000023633,12,1.0,0.47346938775510206,0.6426592797783934,116,0,129,0.484,0.44,0.5,1.0,1.0,5,7,0.8533206496230056,0.9191329661684152,0.8626397533315219,1.0378556744577294,121,90,129,0.3558823529411765,1.0,0.5965587590013045,assigned,True,0.124,0.9191329661684152,121,90,129,0.5734597156398105,0.484,0.5249457700650759,0,4,0.8,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,position_only,ablation,1.0,0.0,0.0,12,0,0,S1,5,800.0,50.0,"S1 (N=5, I=800+/-50)",traj2traj_hota_assigned_v2,235,4.7,5.0,5,5,50.0,50.0,0.0,0.0,5,0.5965587590013045
0.027820599963888526,12,1.0,0.6285714285714286,0.7719298245614035,154,0,91,0.20400000000000001,0.0,0.6639999999999999,1.0,1.0,5,7,0.7721451164343623,0.8304960096499784,37.616911508049284,29.056104701884628,51,160,199,0.12439024390243902,1.0,0.3526900110613271,assigned,True,-0.43599999999999994,0.8304960096499784,51,160,199,0.24170616113744076,0.204,0.2212581344902386,0,0,0.0,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,length_only,ablation,0.0,1.0,0.0,12,0,0,S1,5,800.0,50.0,"S1 (N=5, I=800+/-50)",traj2traj_hota_assigned_v2,235,4.7,5.0,5,5,50.0,50.0,0.0,0.0,5,0.3526900110613271
0.027146599953994155,12,1.0,0.4204081632653061,0.5919540229885057,103,0,142,0.21600000000000003,0.02,0.45999999999999996,1.0,1.0,5,7,0.7759115699704153,0.8615590747289064,4.059370424013323,19.04639951834475,54,157,196,0.13267813267813267,1.0,0.3642500963323588,assigned,True,-0.4119999999999999,0.8615590747289064,54,157,196,0.2559241706161137,0.216,0.23427331887201736,0,2,0.4,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,start_only,ablation,0.0,0.0,1.0,12,0,0,S1,5,800.0,50.0,"S1 (N=5, I=800+/-50)",traj2traj_hota_assigned_v2,235,4.7,5.0,5,5,50.0,50.0,0.0,0.0,5,0.3642500963323588
0.1763875000178814,12,1.0,0.5551020408163265,0.7139107611548556,136,0,109,0.552,0.52,0.5960000000000001,1.0,1.0,5,7,0.9054438448227763,1.0060103224300883,0.9474720393686572,1.261339521799269,138,73,112,0.42724458204334365,1.0,0.6536394893542951,assigned,True,0.26,1.0060103224300883,138,73,112,0.6540284360189573,0.552,0.5986984815618223,0,12,2.4,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_len_90_10,position_length,0.9,0.1,0.0,12,0,0,S1,5,800.0,50.0,"S1 (N=5, I=800+/-50)",traj2traj_hota_assigned_v2,235,4.7,5.0,5,5,50.0,50.0,0.0,0.0,5,0.6536394893542951
0.19634640007279813,12,1.0,0.5551020408163265,0.7139107611548556,136,0,109,0.552,0.52,0.5960000000000001,1.0,1.0,5,7,0.9054438448227763,1.0060103224300883,0.9474720393686572,1.261339521799269,138,73,112,0.42724458204334365,1.0,0.6536394893542951,assigned,True,0.26,1.0060103224300883,138,73,112,0.6540284360189573,0.552,0.5986984815618223,0,12,2.4,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_len_75_25,position_length,0.75,0.25,0.0,12,0,0,S1,5,800.0,50.0,"S1 (N=5, I=800+/-50)",traj2traj_hota_assigned_v2,235,4.7,5.0,5,5,50.0,50.0,0.0,0.0,5,0.6536394893542951
0.17686120001599193,12,1.0,0.5551020408163265,0.7139107611548556,136,0,109,0.552,0.52,0.5960000000000001,1.0,1.0,5,7,0.9054438448227763,1.0060103224300883,0.9474720393686572,1.261339521799269,138,73,112,0.42724458204334365,1.0,0.6536394893542951,assigned,True,0.26,1.0060103224300883,138,73,112,0.6540284360189573,0.552,0.5986984815618223,0,12,2.4,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_len_60_40,position_length,0.6,0.4,0.0,12,0,0,S1,5,800.0,50.0,"S1 (N=5, I=800+/-50)",traj2traj_hota_assigned_v2,235,4.7,5.0,5,5,50.0,50.0,0.0,0.0,5,0.6536394893542951
0.16203819983638823,12,1.0,0.4204081632653061,0.5919540229885057,103,0,142,0.41600000000000004,0.38,0.4600000000000001,1.0,1.0,5,7,0.8610068386423324,0.9969608333521277,0.9296527772776385,1.328644268881393,104,107,146,0.2913165266106443,1.0,0.539737460818354,assigned,True,-0.01200000000000001,0.9969608333521277,104,107,146,0.4928909952606635,0.416,0.4511930585683297,0,11,2.2,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_start_90_10,position_start,0.9,0.0,0.1,12,0,0,S1,5,800.0,50.0,"S1 (N=5, I=800+/-50)",traj2traj_hota_assigned_v2,235,4.7,5.0,5,5,50.0,50.0,0.0,0.0,5,0.539737460818354
0.15158089995384216,12,1.0,0.4204081632653061,0.5919540229885057,103,0,142,0.41600000000000004,0.38,0.4600000000000001,1.0,1.0,5,7,0.8610068386423324,0.9969608333521277,0.9296527772776385,1.328644268881393,104,107,146,0.2913165266106443,1.0,0.539737460818354,assigned,True,-0.01200000000000001,0.9969608333521277,104,107,146,0.4928909952606635,0.416,0.4511930585683297,0,11,2.2,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_start_75_25,position_start,0.75,0.0,0.25,12,0,0,S1,5,800.0,50.0,"S1 (N=5, I=800+/-50)",traj2traj_hota_assigned_v2,235,4.7,5.0,5,5,50.0,50.0,0.0,0.0,5,0.539737460818354
0.13764790003187954,12,1.0,0.4204081632653061,0.5919540229885057,103,0,142,0.41600000000000004,0.38,0.4600000000000001,1.0,1.0,5,7,0.8610068386423324,0.9969608333521277,0.9296527772776385,1.328644268881393,104,107,146,0.2913165266106443,1.0,0.539737460818354,assigned,True,-0.01200000000000001,0.9969608333521277,104,107,146,0.4928909952606635,0.416,0.4511930585683297,0,11,2.2,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_start_60_40,position_start,0.6,0.0,0.4,12,0,0,S1,5,800.0,50.0,"S1 (N=5, I=800+/-50)",traj2traj_hota_assigned_v2,235,4.7,5.0,5,5,50.0,50.0,0.0,0.0,5,0.539737460818354
0.1251412001438439,12,1.0,0.5387755102040817,0.7002652519893899,132,0,113,0.536,0.44,0.5800000000000001,1.0,1.0,5,7,0.8610068386423324,0.9813156688662861,0.9138184641811322,1.2455618198677325,134,77,116,0.40978593272171254,1.0,0.640145243457852,assigned,True,0.22799999999999998,0.9813156688662861,134,77,116,0.6350710900473934,0.536,0.581344902386117,0,12,2.4,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_meta_80_10_10,all_terms,0.8,0.1,0.1,12,0,0,S1,5,800.0,50.0,"S1 (N=5, I=800+/-50)",traj2traj_hota_assigned_v2,235,4.7,5.0,5,5,50.0,50.0,0.0,0.0,5,0.640145243457852
0.1339563000947237,12,1.0,0.5387755102040817,0.7002652519893899,132,0,113,0.536,0.44,0.5800000000000001,1.0,1.0,5,7,0.8610068386423324,0.9813156688662861,0.9138184641811322,1.2455618198677325,134,77,116,0.40978593272171254,1.0,0.640145243457852,assigned,True,0.22799999999999998,0.9813156688662861,134,77,116,0.6350710900473934,0.536,0.581344902386117,0,12,2.4,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_meta_70_20_10,all_terms,0.7,0.2,0.1,12,0,0,S1,5,800.0,50.0,"S1 (N=5, I=800+/-50)",traj2traj_hota_assigned_v2,235,4.7,5.0,5,5,50.0,50.0,0.0,0.0,5,0.640145243457852
0.14103060006164014,12,1.0,0.5387755102040817,0.7002652519893899,132,0,113,0.536,0.44,0.5800000000000001,1.0,1.0,5,7,0.8610068386423324,0.9813156688662861,0.9138184641811322,1.2455618198677325,134,77,116,0.40978593272171254,1.0,0.640145243457852,assigned,True,0.22799999999999998,0.9813156688662861,134,77,116,0.6350710900473934,0.536,0.581344902386117,0,12,2.4,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_meta_60_20_20,all_terms,0.6,0.2,0.2,12,0,0,S1,5,800.0,50.0,"S1 (N=5, I=800+/-50)",traj2traj_hota_assigned_v2,235,4.7,5.0,5,5,50.0,50.0,0.0,0.0,5,0.640145243457852
0.1360966998618096,12,1.0,0.5387755102040817,0.7002652519893899,132,0,113,0.536,0.44,0.5800000000000001,1.0,1.0,5,7,0.8610068386423324,0.9813156688662861,0.9138184641811322,1.2455618198677325,134,77,116,0.40978593272171254,1.0,0.640145243457852,assigned,True,0.22799999999999998,0.9813156688662861,134,77,116,0.6350710900473934,0.536,0.581344902386117,0,12,2.4,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,equal_all,all_terms,0.3333333333333333,0.3333333333333333,0.3333333333333333,12,0,0,S1,5,800.0,50.0,"S1 (N=5, I=800+/-50)",traj2traj_hota_assigned_v2,235,4.7,5.0,5,5,50.0,50.0,0.0,0.0,5,0.640145243457852
0.1533134998753667,16,1.0,0.39183673469387753,0.563049853372434,96,0,149,0.40800000000000003,0.3,0.43200000000000005,1.0,1.0,5,11,0.6987109639430937,1.003855076124234,0.7086110347432233,1.231836204116513,102,149,148,0.2556390977443609,1.0,0.5056076519835918,assigned,True,-0.18799999999999994,1.003855076124234,102,149,148,0.4063745019920319,0.408,0.40718562874251496,0,6,1.2,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,position_only,ablation,1.0,0.0,0.0,16,1,0,S1,5,800.0,50.0,"S1 (N=5, I=800+/-50)",traj2traj_hota_assigned_v2,294,5.88,6.0,5,5,50.0,50.0,0.0,0.0,5,0.5056076519835918
0.01865920005366206,16,1.0,0.5020408163265306,0.6684782608695652,123,0,122,0.0,0.0,0.548,1.0,1.0,5,11,,,71.98318801983233,61.80786809822892,0,251,250,0.0,0.0,0.0,assigned,True,-1.004,,0,251,250,0.0,0.0,,0,0,0.0,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,length_only,ablation,0.0,1.0,0.0,16,1,0,S1,5,800.0,50.0,"S1 (N=5, I=800+/-50)",traj2traj_hota_assigned_v2,294,5.88,6.0,5,5,50.0,50.0,0.0,0.0,5,0.0
0.02225210005417466,16,1.0,0.363265306122449,0.532934131736527,89,0,156,0.0,0.0,0.41600000000000004,1.0,1.0,5,11,,,77.64948046319796,78.21457174777638,0,251,250,0.0,0.0,0.0,assigned,True,-1.004,,0,251,250,0.0,0.0,,0,0,0.0,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,start_only,ablation,0.0,0.0,1.0,16,1,0,S1,5,800.0,50.0,"S1 (N=5, I=800+/-50)",traj2traj_hota_assigned_v2,294,5.88,6.0,5,5,50.0,50.0,0.0,0.0,5,0.0
0.15317329997196794,16,1.0,0.46938775510204084,0.6388888888888888,115,0,130,0.4879999999999999,0.32,0.5119999999999999,1.0,1.0,5,11,0.6945327999865363,0.9568291858733428,0.7056310278770432,1.1513926012223383,122,129,128,0.32189973614775724,1.0,0.5673620855747741,assigned,True,-0.028000000000000025,0.9568291858733428,122,129,128,0.4860557768924303,0.488,0.4870259481037924,0,7,1.4,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_len_90_10,position_length,0.9,0.1,0.0,16,1,0,S1,5,800.0,50.0,"S1 (N=5, I=800+/-50)",traj2traj_hota_assigned_v2,294,5.88,6.0,5,5,50.0,50.0,0.0,0.0,5,0.5673620855747741
0.1583860998507589,16,1.0,0.4857142857142857,0.6538461538461539,119,0,126,0.476,0.28,0.5399999999999999,1.0,1.0,5,11,0.6606562298865023,0.9165253828953998,0.7144193811973464,1.3769708421050204,119,132,131,0.31151832460732987,1.0,0.5581382665678191,assigned,True,-0.052000000000000046,0.9165253828953998,119,132,131,0.47410358565737054,0.476,0.4750499001996008,0,14,2.8,traj2traj,dist_int_60_40,distance_intensity,0.6,0.4,0.0,pos_len_75_25,position_length,0.75,0.25,0.0,16,1,0,S1,5,800.0,50.0,"S1 (N=5, I=800+/-50)",traj2traj_hota_assigned_v2,294,5.88,6.0,5,5,50.0,50.0,0.0,0.0,5,0.5581382665678191
