method,method_label,n,coverage_pct_mean,coverage_pct_ci95,mean_error_px_mean,mean_error_px_ci95,n_tracks_mean,n_tracks_ci95
all_distance,All - distance,3,49.4,11.599380903019497,1.2330768067256228,0.27126619504707955,68.33333333333333,11.164164893881576
all_enhanced,All - enhanced cost,3,52.333333333333336,5.5415030853049645,1.1304031314757512,0.16178991808633075,64.0,2.9939494540378155
separated_distance,Separated - distance,3,43.13333333333333,5.997069765958856,1.2065133551409977,0.27003580025413193,76.66666666666667,2.8478139764465733
