runtime_s,n_tracks,link_precision,link_recall,link_f1,link_tp,link_fp,link_fn,mean_coverage,median_coverage,mean_assigned_coverage,mean_fragments_per_gt,max_fragments_per_gt,assigned_tracks,unassigned_tracks,median_position_error_px,mean_position_error_px,assigned_median_position_error_px,assigned_mean_position_error_px,clear_tp,clear_fp,clear_fn,deta,assa,hota,mota,motp_px,id_switches,fragmentations,mean_fragmentations_per_gt,stage,peak_config,peak_family,peak_distance_weight,peak_intensity_weight,peak_sigma_weight,traj_config,seed,setup_index,setup,nparticles,intensity_mean,intensity_std,difficulty,cache_version,total_peaks,mean_peaks_per_frame,median_peaks_per_frame,n_gt_fragments,n_source_gt,mean_gt_length,median_gt_length,min_start_frame,max_start_frame,original_gt_count,peak_objective,traj_objective
0.13294439995661378,13,0.8295454545454546,0.35784313725490197,0.5,73,15,131,0.6949688635184224,0.851063829787234,0.37599636741048265,1.0,1.0,5,8,0.9054438448227763,1.0025506956908605,0.8808791009268613,1.141858596893288,146,56,63,0.5509433962264151,0.5331797223101672,0.5419887886373854,0.3732057416267942,1.0025506956908605,12,17,3.4,peak2peak,distance_only,ablation,1.0,0.0,0.0,position_only,0,0,S1,5,800.0,50.0,"S1: N=5, I=800+/-50",fragmented_gt_v2,235,4.7,5.0,5,5,41.8,41.0,0.0,9.0,5,0.5419887886373854,0.5
0.15311259985901415,11,0.84375,0.5294117647058824,0.6506024096385543,108,20,96,0.7303788271925272,0.975609756097561,0.5914115204981837,1.0,1.0,5,6,0.92063664362614,1.0097706811471647,1.0359077853365348,1.5162006377295576,154,54,55,0.5855513307984791,0.6269092327730111,0.6058774921880579,0.36363636363636365,1.0097706811471647,24,15,3.0,peak2peak,intensity_only,ablation,0.0,1.0,0.0,position_only,0,0,S1,5,800.0,50.0,"S1: N=5, I=800+/-50",fragmented_gt_v2,235,4.7,5.0,5,5,41.8,41.0,0.0,9.0,5,0.6058774921880579,0.6506024096385543
0.1593967000953853,16,0.9318181818181818,0.4019607843137255,0.5616438356164384,82,6,122,0.7084795018162947,0.8936170212765957,0.4427503892060197,1.0,1.0,5,11,0.8970692254644204,1.006359079599919,0.8808791009268613,1.4387795337367908,149,62,60,0.5498154981549815,0.42611632189772164,0.48403032735166945,0.22009569377990434,1.006359079599919,41,18,3.6,peak2peak,sigma_only,ablation,0.0,0.0,1.0,position_only,0,0,S1,5,800.0,50.0,"S1: N=5, I=800+/-50",fragmented_gt_v2,235,4.7,5.0,5,5,41.8,41.0,0.0,9.0,5,0.48403032735166945,0.5616438356164384
0.13083399995230138,11,0.8421052631578947,0.47058823529411764,0.6037735849056604,96,18,108,0.7062454592631033,0.9574468085106383,0.4937623248572911,1.0,1.0,5,6,0.8970692254644204,0.9916928979427381,0.8789789267838105,1.065077290908481,149,53,60,0.5687022900763359,0.7005363658485922,0.631186688341768,0.42105263157894735,0.9916928979427381,8,15,3.0,peak2peak,dist_int_90_10,distance_intensity,0.9,0.1,0.0,position_only,0,0,S1,5,800.0,50.0,"S1: N=5, I=800+/-50",fragmented_gt_v2,235,4.7,5.0,5,5,41.8,41.0,0.0,9.0,5,0.631186688341768,0.6037735849056604
0.17924239998683333,13,0.8468468468468469,0.46078431372549017,0.5968253968253969,94,17,110,0.7119901401141672,0.9361702127659575,0.4809963674104826,1.0,1.0,5,8,0.8889741631956408,1.0015170432799276,0.8656871754258626,1.041982370096112,150,56,59,0.5660377358490566,0.6350050264407026,0.599530489149022,0.4019138755980861,1.0015170432799276,10,15,3.0,peak2peak,dist_int_75_25,distance_intensity,0.75,0.25,0.0,position_only,0,0,S1,5,800.0,50.0,"S1: N=5, I=800+/-50",fragmented_gt_v2,235,4.7,5.0,5,5,41.8,41.0,0.0,9.0,5,0.599530489149022,0.5968253968253969
0.16714850021526217,12,0.8275862068965517,0.47058823529411764,0.6,96,20,108,0.7260015568240789,0.9574468085106383,0.4937623248572911,1.0,1.0,5,7,0.9138184641811322,1.0088484125006116,0.8687345975202033,1.0572720261704025,153,58,56,0.5730337078651685,0.7098648241657619,0.6377903043122892,0.416267942583732,1.0088484125006116,8,16,3.2,peak2peak,dist_int_60_40,distance_intensity,0.6,0.4,0.0,position_only,0,0,S1,5,800.0,50.0,"S1: N=5, I=800+/-50",fragmented_gt_v2,235,4.7,5.0,5,5,41.8,41.0,0.0,9.0,5,0.6377903043122892,0.6
0.20511360000818968,13,0.845360824742268,0.4019607843137255,0.5448504983388704,82,15,122,0.7174909185262065,0.9148936170212766,0.4187623248572911,1.0,1.0,5,8,0.9138184641811322,1.0128554400233172,0.8973487825539967,1.1910642706388432,151,59,58,0.5634328358208955,0.5522002531986968,0.5577882704044236,0.3971291866028708,1.0128554400233172,9,17,3.4,peak2peak,dist_sig_90_10,distance_sigma,0.9,0.0,0.1,position_only,0,0,S1,5,800.0,50.0,"S1: N=5, I=800+/-50",fragmented_gt_v2,235,4.7,5.0,5,5,41.8,41.0,0.0,9.0,5,0.5577882704044236,0.5448504983388704
0.23009550012648106,14,0.7543859649122807,0.2107843137254902,0.32950191570881227,43,14,161,0.7260015568240789,0.9574468085106383,0.2483367929423975,1.0,1.0,5,9,0.9274548230711478,1.015426472908818,0.8687345975202033,1.1799291765016586,153,57,56,0.575187969924812,0.5105036347585601,0.5418814901027843,0.3875598086124402,1.015426472908818,15,18,3.6,peak2peak,dist_sig_75_25,distance_sigma,0.75,0.0,0.25,position_only,0,0,S1,5,800.0,50.0,"S1: N=5, I=800+/-50",fragmented_gt_v2,235,4.7,5.0,5,5,41.8,41.0,0.0,9.0,5,0.5418814901027843,0.32950191570881227
0.17844179994426668,14,0.7543859649122807,0.2107843137254902,0.32950191570881227,43,14,161,0.7260015568240789,0.9574468085106383,0.25333679294239747,1.0,1.0,5,9,0.9274548230711478,1.015426472908818,0.8656871754258626,1.166882115933962,153,57,56,0.575187969924812,0.5036600794120503,0.5382371397527179,0.3732057416267942,1.015426472908818,18,18,3.6,peak2peak,dist_sig_60_40,distance_sigma,0.6,0.0,0.4,position_only,0,0,S1,5,800.0,50.0,"S1: N=5, I=800+/-50",fragmented_gt_v2,235,4.7,5.0,5,5,41.8,41.0,0.0,9.0,5,0.5382371397527179,0.32950191570881227
0.1952251000329852,15,0.851063829787234,0.39215686274509803,0.5369127516778522,80,14,124,0.7217462376751428,0.9361702127659575,0.4059963674104826,1.0,1.0,5,10,0.9054438448227763,1.0064056845473217,0.8789789267838105,1.164889014108114,152,63,57,0.5588235294117647,0.5179397429120204,0.5379934155328644,0.368421052631579,1.0064056845473217,12,16,3.2,peak2peak,dist_meta_80_10_10,all_terms,0.8,0.1,0.1,position_only,0,0,S1,5,800.0,50.0,"S1: N=5, I=800+/-50",fragmented_gt_v2,235,4.7,5.0,5,5,41.8,41.0,0.0,9.0,5,0.5379934155328644,0.5369127516778522
