seed,difficulty,peak_config,peak_family,peak_distance_weight,peak_intensity_weight,peak_sigma_weight,runtime_s,hota,deta,assa,tp,fp,fn
0,"S1 (N=5, I=800+/-50)",distance_only,ablation,1.0,0.0,0.0,0.06317250011488795,0.4503288468297363,0.7338129496402878,0.2763593506852256,204,28,46
0,"S1 (N=5, I=800+/-50)",intensity_only,ablation,0.0,1.0,0.0,0.06522949994541705,0.4060288303535507,0.7392857142857143,0.22299823720732506,207,30,43
0,"S1 (N=5, I=800+/-50)",sigma_only,ablation,0.0,0.0,1.0,0.078623800072819,0.3904056978528946,0.7338129496402878,0.2077049866600469,204,28,46
0,"S1 (N=5, I=800+/-50)",dist_int_90_10,distance_intensity,0.9,0.1,0.0,0.08211479987949133,0.48433941356847243,0.7545787545787546,0.31088162251110457,206,23,44
0,"S1 (N=5, I=800+/-50)",dist_int_75_25,distance_intensity,0.75,0.25,0.0,0.06432310002855957,0.4537777514502064,0.7446043165467626,0.2765418399213288,207,28,43
0,"S1 (N=5, I=800+/-50)",dist_int_60_40,distance_intensity,0.6,0.4,0.0,0.07952589984051883,0.5005203943373683,0.7554744525547445,0.33160706401184487,207,24,43
0,"S1 (N=5, I=800+/-50)",dist_sig_90_10,distance_sigma,0.9,0.0,0.1,0.07439279998652637,0.48110218269173277,0.7445255474452555,0.31088162251110457,204,24,46
0,"S1 (N=5, I=800+/-50)",dist_sig_75_25,distance_sigma,0.75,0.0,0.25,0.0824923999607563,0.4531595705989683,0.7427536231884058,0.2764760615288868,205,26,45
0,"S1 (N=5, I=800+/-50)",dist_sig_60_40,distance_sigma,0.6,0.0,0.4,0.08541429997421801,0.4261948097187049,0.7427536231884058,0.24455217741171223,205,26,45
0,"S1 (N=5, I=800+/-50)",dist_meta_80_10_10,all_terms,0.8,0.1,0.1,0.08982580015435815,0.46719996275677994,0.7454545454545455,0.29280900697552464,205,25,45
0,"S1 (N=5, I=800+/-50)",dist_meta_70_20_10,all_terms,0.7,0.2,0.1,0.07444470003247261,0.4824566915696704,0.7481751824817519,0.31110956991149497,205,24,45
0,"S1 (N=5, I=800+/-50)",dist_meta_50_40_10,all_terms,0.5,0.4,0.1,0.15121249994263053,0.4836031354461602,0.7518248175182481,0.31107245619446533,206,24,44
0,"S1 (N=5, I=800+/-50)",equal_all,all_terms,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.10753080016002059,0.39591312919200045,0.7311827956989247,0.21437485508226403,204,29,46
1,"S1 (N=5, I=800+/-50)",distance_only,ablation,1.0,0.0,0.0,0.08763929991982877,0.38306905887582376,0.7689655172413793,0.19083027857274756,223,40,27
1,"S1 (N=5, I=800+/-50)",intensity_only,ablation,0.0,1.0,0.0,0.09246039995923638,0.34219410155786106,0.7702702702702703,0.1520204110953226,228,46,22
1,"S1 (N=5, I=800+/-50)",sigma_only,ablation,0.0,0.0,1.0,0.0810285999905318,0.36837830358806295,0.7728813559322034,0.17558008549804224,228,45,22
1,"S1 (N=5, I=800+/-50)",dist_int_90_10,distance_intensity,0.9,0.1,0.0,0.09601409989409149,0.3839293374849605,0.7785467128027682,0.18932934113997404,225,39,25
1,"S1 (N=5, I=800+/-50)",dist_int_75_25,distance_intensity,0.75,0.25,0.0,0.11200520000420511,0.3778565590044063,0.7847222222222222,0.1819441009053244,226,38,24
1,"S1 (N=5, I=800+/-50)",dist_int_60_40,distance_intensity,0.6,0.4,0.0,0.12653549993410707,0.40525301566665045,0.8,0.20528750838364304,228,35,22
1,"S1 (N=5, I=800+/-50)",dist_sig_90_10,distance_sigma,0.9,0.0,0.1,0.11271000001579523,0.36808060910376933,0.7728813559322034,0.1752964200239892,228,45,22
1,"S1 (N=5, I=800+/-50)",dist_sig_75_25,distance_sigma,0.75,0.0,0.25,0.10792999994009733,0.3896227065630353,0.8048780487804879,0.18860727249241543,231,37,19
1,"S1 (N=5, I=800+/-50)",dist_sig_60_40,distance_sigma,0.6,0.0,0.4,0.11675220006145537,0.368172720698519,0.7986111111111112,0.16973361675115783,230,38,20
1,"S1 (N=5, I=800+/-50)",dist_meta_80_10_10,all_terms,0.8,0.1,0.1,0.13065359997563064,0.3661431181243986,0.7661016949152543,0.17499084500091994,226,45,24
1,"S1 (N=5, I=800+/-50)",dist_meta_70_20_10,all_terms,0.7,0.2,0.1,0.13153809984214604,0.3699420294816266,0.7815699658703071,0.1751053791129105,229,43,21
1,"S1 (N=5, I=800+/-50)",dist_meta_50_40_10,all_terms,0.5,0.4,0.1,0.13112500007264316,0.3721182026818887,0.7896551724137931,0.17535749983619117,229,40,21
1,"S1 (N=5, I=800+/-50)",equal_all,all_terms,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14420239999890327,0.3776649578777924,0.7938144329896907,0.1796777867487918,231,41,19
2,"S1 (N=5, I=800+/-50)",distance_only,ablation,1.0,0.0,0.0,0.07760459999553859,0.5845738778845971,0.8884892086330936,0.3846153846153845,247,28,3
2,"S1 (N=5, I=800+/-50)",intensity_only,ablation,0.0,1.0,0.0,0.05456520011648536,0.6759651166675028,0.9138576779026217,0.4999999999999999,244,17,6
2,"S1 (N=5, I=800+/-50)",sigma_only,ablation,0.0,0.0,1.0,0.06141379987820983,0.5227259130285647,0.8763250883392226,0.31180481283422457,248,33,2
2,"S1 (N=5, I=800+/-50)",dist_int_90_10,distance_intensity,0.9,0.1,0.0,0.10761049995198846,0.6735753140545634,0.9074074074074074,0.5,245,20,5
2,"S1 (N=5, I=800+/-50)",dist_int_75_25,distance_intensity,0.75,0.25,0.0,0.06838179985061288,0.5843079928824056,0.8876811594202898,0.3846153846153847,245,26,5
2,"S1 (N=5, I=800+/-50)",dist_int_60_40,distance_intensity,0.6,0.4,0.0,0.08330400008708239,0.5899028292738967,0.9047619047619048,0.3846153846153847,247,23,3
2,"S1 (N=5, I=800+/-50)",dist_sig_90_10,distance_sigma,0.9,0.0,0.1,0.08034019987098873,0.5639500196018861,0.8905109489051095,0.3571428571428571,244,24,6
2,"S1 (N=5, I=800+/-50)",dist_sig_75_25,distance_sigma,0.75,0.0,0.25,0.0971164999064058,0.5261042808091513,0.8857142857142857,0.3125,248,30,2
2,"S1 (N=5, I=800+/-50)",dist_sig_60_40,distance_sigma,0.6,0.0,0.4,0.12909440021030605,0.5415387520394428,0.8884892086330936,0.33007066052227335,247,28,3
2,"S1 (N=5, I=800+/-50)",dist_meta_80_10_10,all_terms,0.8,0.1,0.1,0.14108860003761947,0.588469005683404,0.9003690036900369,0.38461538461538464,244,21,6
2,"S1 (N=5, I=800+/-50)",dist_meta_70_20_10,all_terms,0.7,0.2,0.1,0.09322349983267486,0.5660195679130751,0.8970588235294118,0.35714285714285715,244,22,6
2,"S1 (N=5, I=800+/-50)",dist_meta_50_40_10,all_terms,0.5,0.4,0.1,0.10771619994193316,0.5438359824042317,0.8872727272727273,0.3333333333333333,244,25,6
2,"S1 (N=5, I=800+/-50)",equal_all,all_terms,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.10730670019984245,0.5020233684336838,0.8657243816254417,0.2911174362218005,245,33,5
3,"S1 (N=5, I=800+/-50)",distance_only,ablation,1.0,0.0,0.0,0.09185710013844073,0.37818384920625314,0.8293515358361775,0.17245162952071688,243,43,7
